PlotID,PlotName,Block,Location,CropNm,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,SamplingWeek,Month,Day,Year,StdCnt_Q1,StdCnt_Q2,StdCnt_Q3
1,VF_SHSS-1,1,VF,SH,SHSS,1,1,1,111,Winter,1/6/2020,8,1,6,2020,24,27,17
1,VF_SHSS-1,1,VF,SS,SHSS,1,1,1,111,Winter,1/6/2020,8,1,6,2020,18,17,31
2,VF_VB-1,1,VF,VB,VB,1,1,2,112,Winter,1/6/2020,8,1,6,2020,4,6,5
3,VF_SH-1,1,VF,SH,SH,1,1,3,113,Winter,1/6/2020,8,1,6,2020,49,79,54
4,VF_SHVB-1,1,VF,SH,SHVB,1,1,4,114,Winter,1/6/2020,8,1,6,2020,15,29,21
4,VF_SHVB-1,1,VF,VB,SHVB,1,1,4,114,Winter,1/6/2020,8,1,6,2020,1,3,2
5,VF_SSVB-1,1,VF,SS,SSVB,1,1,5,115,Winter,1/6/2020,8,1,6,2020,13,15,37
5,VF_SSVB-1,1,VF,VB,SSVB,1,1,5,115,Winter,1/6/2020,8,1,6,2020,3,2,3
6,VF_SS-1,1,VF,SS,SS,1,1,6,116,Winter,1/6/2020,8,1,6,2020,14,32,20
7,VF_SS-2,1,VF,SS,SS,1,2,1,121,Winter,1/6/2020,8,1,6,2020,44,34,22
8,VF_SHVB-2,1,VF,SH,SHVB,1,2,2,122,Winter,1/6/2020,8,1,6,2020,30,22,20
8,VF_SHVB-2,1,VF,VB,SHVB,1,2,2,122,Winter,1/6/2020,8,1,6,2020,3,4,2
9,VF_SSVB-2,1,VF,SS,SSVB,1,2,3,123,Winter,1/6/2020,8,1,6,2020,17,18,17
9,VF_SSVB-2,1,VF,VB,SSVB,1,2,3,123,Winter,1/6/2020,8,1,6,2020,3,2,3
10,VF_SH-2,1,VF,SH,SH,1,2,4,124,Winter,1/6/2020,8,1,6,2020,35,48,22
11,VF_VB-2,1,VF,VB,VB,1,2,5,125,Winter,1/6/2020,8,1,6,2020,6,8,5
12,VF_SHSS-2,1,VF,SH,SHSS,1,2,6,126,Winter,1/6/2020,8,1,6,2020,36,26,17
12,VF_SHSS-2,1,VF,SS,SHSS,1,2,6,126,Winter,1/6/2020,8,1,6,2020,20,4,14
13,VF_VB-3,1,VF,VB,VB,1,3,1,131,Winter,1/6/2020,8,1,6,2020,5,6,6
14,VF_SSVB-3,1,VF,SS,SSVB,1,3,2,132,Winter,1/6/2020,8,1,6,2020,42,16,21
14,VF_SSVB-3,1,VF,VB,SSVB,1,3,2,132,Winter,1/6/2020,8,1,6,2020,3,1,2
15,VF_SHVB-3,1,VF,SH,SHVB,1,3,3,133,Winter,1/6/2020,8,1,6,2020,23,30,20
15,VF_SHVB-3,1,VF,VB,SHVB,1,3,3,133,Winter,1/6/2020,8,1,6,2020,3,4,2
16,VF_SHSS-3,1,VF,SH,SHSS,1,3,4,134,Winter,1/6/2020,8,1,6,2020,22,57,25
16,VF_SHSS-3,1,VF,SS,SHSS,1,3,4,134,Winter,1/6/2020,8,1,6,2020,30,47,26
17,VF_SS-3,1,VF,SS,SS,1,3,5,135,Winter,1/6/2020,8,1,6,2020,54,43,33
18,VF_SH-3,1,VF,SH,SH,1,3,6,136,Winter,1/6/2020,8,1,6,2020,34,56,29
19,VF_SH-4,1,VF,SH,SH,1,4,1,141,Winter,1/6/2020,8,1,6,2020,35,54,50
20,VF_SS-4,1,VF,SS,SS,1,4,2,142,Winter,1/6/2020,8,1,6,2020,46,46,38
21,VF_SHSS-4,1,VF,SH,SHSS,1,4,3,143,Winter,1/6/2020,8,1,6,2020,23,11,26
21,VF_SHSS-4,1,VF,SS,SHSS,1,4,3,143,Winter,1/6/2020,8,1,6,2020,13,21,33
22,VF_VB-4,1,VF,VB,VB,1,4,4,144,Winter,1/6/2020,8,1,6,2020,5,4,6
23,VF_SHVB-4,1,VF,SH,SHVB,1,4,5,144,Winter,1/6/2020,8,1,6,2020,29,36,47
23,VF_SHVB-4,1,VF,VB,SHVB,1,4,5,145,Winter,1/6/2020,8,1,6,2020,3,2,0
24,VF_SSVB-4,1,VF,SS,SSVB,1,4,6,146,Winter,1/6/2020,8,1,6,2020,13,13,9
24,VF_SSVB-4,1,VF,VB,SSVB,1,4,6,146,Winter,1/6/2020,8,1,6,2020,3,2,1
25,VF_SHVB-5,1,VF,SH,SHVB,1,5,1,151,Winter,1/6/2020,8,1,6,2020,36,23,25
25,VF_SHVB-5,1,VF,VB,SHVB,1,5,1,151,Winter,1/6/2020,8,1,6,2020,3,2,1
26,VF_SHSS-5,1,VF,SH,SHSS,1,5,2,152,Winter,1/6/2020,8,1,6,2020,34,18,22
26,VF_SHSS-5,1,VF,SS,SHSS,1,5,2,152,Winter,1/6/2020,8,1,6,2020,21,21,10
27,VF_SS-5,1,VF,SS,SS,1,5,3,153,Winter,1/6/2020,8,1,6,2020,27,34,38
28,VF_SSVB-5,1,VF,SS,SSVB,1,5,4,154,Winter,1/6/2020,8,1,6,2020,22,20,20
28,VF_SSVB-5,1,VF,VB,SSVB,1,5,4,154,Winter,1/6/2020,8,1,6,2020,3,1,3
29,VF_SH-5,1,VF,SH,SH,1,5,5,155,Winter,1/6/2020,8,1,6,2020,36,29,46
30,VF_VB-5,1,VF,VB,VB,1,5,6,156,Winter,1/6/2020,8,1,6,2020,7,4,4
31,VF_SSVB-6,1,VF,SS,SSVB,1,6,1,161,Winter,1/6/2020,8,1,6,2020,33,23,25
31,VF_SSVB-6,1,VF,VB,SSVB,1,6,1,161,Winter,1/6/2020,8,1,6,2020,3,4,3
32,VF_SH-6,1,VF,SH,SH,1,6,2,162,Winter,1/6/2020,8,1,6,2020,50,38,28
33,VF_VB-6,1,VF,VB,VB,1,6,3,163,Winter,1/6/2020,8,1,6,2020,6,5,5
34,VF_SS-6,1,VF,SS,SS,1,6,4,164,Winter,1/6/2020,8,1,6,2020,19,32,27
35,VF_SHSS-6,1,VF,SH,SHSS,1,6,5,165,Winter,1/6/2020,8,1,6,2020,19,17,28
35,VF_SHSS-6,1,VF,SS,SHSS,1,6,5,165,Winter,1/6/2020,8,1,6,2020,12,25,12
36,VF_SHVB-6,1,VF,SH,SHVB,1,6,6,166,Winter,1/6/2020,8,1,6,2020,23,32,27
36,VF_SHVB-6,1,VF,VB,SHVB,1,6,6,166,Winter,1/6/2020,8,1,6,2020,0,3,3
37,FO_SS-1,4,FO,SS,SS,2,1,1,211,Winter,1/7/2020,8,1,7,2020,36,31,12
38,FO_SHSS-1,4,FO,SH,SHSS,2,1,2,212,Winter,1/7/2020,8,1,7,2020,24,47,28
38,FO_SHSS-1,4,FO,SS,SHSS,2,1,2,212,Winter,1/7/2020,8,1,7,2020,5,4,4
39,FO_SHVB-1,4,FO,SH,SHVB,2,1,3,213,Winter,1/7/2020,8,1,7,2020,20,20,20
39,FO_SHVB-1,4,FO,VB,SHVB,2,1,3,213,Winter,1/7/2020,8,1,7,2020,0,2,4
40,FO_SSVB-1,4,FO,SS,SSVB,2,1,4,214,Winter,1/7/2020,8,1,7,2020,0,0,0
40,FO_SSVB-1,4,FO,VB,SSVB,2,1,4,214,Winter,1/7/2020,8,1,7,2020,3,3,2
41,FO_SH-1,4,FO,SH,SH,2,1,5,215,Winter,1/7/2020,8,1,7,2020,23,38,41
42,FO_VB-1,4,FO,VB,VB,2,1,6,216,Winter,1/7/2020,8,1,7,2020,3,4,5
43,FO_VB-2,4,FO,VB,VB,2,2,1,221,Winter,1/7/2020,8,1,7,2020,6,5,4
44,FO_SSVB-2,4,FO,SS,SSVB,2,2,2,222,Winter,1/7/2020,8,1,7,2020,0,0,0
44,FO_SSVB-2,4,FO,VB,SSVB,2,2,2,222,Winter,1/7/2020,8,1,7,2020,3,5,3
45,FO_SS-2,4,FO,SS,SS,2,2,3,223,Winter,1/7/2020,8,1,7,2020,40,48,44
46,FO_SH-2,4,FO,SH,SH,2,2,4,224,Winter,1/7/2020,8,1,7,2020,28,34,23
47,FO_SHVB-2,4,FO,SH,SHVB,2,2,5,225,Winter,1/7/2020,8,1,7,2020,9,24,11
47,FO_SHVB-2,4,FO,VB,SHVB,2,2,5,225,Winter,1/7/2020,8,1,7,2020,1,3,2
48,FO_SHSS-2,4,FO,SH,SHSS,2,2,6,226,Winter,1/7/2020,8,1,7,2020,22,25,24
48,FO_SHSS-2,4,FO,SS,SHSS,2,2,6,226,Winter,1/7/2020,8,1,7,2020,12,6,9
49,FO_SH-3,4,FO,SH,SH,2,3,1,231,Winter,1/7/2020,8,1,7,2020,18,42,37
50,FO_SHVB-3,4,FO,SH,SHVB,2,3,2,232,Winter,1/7/2020,8,1,7,2020,26,14,13
50,FO_SHVB-3,4,FO,VB,SHVB,2,3,2,232,Winter,1/7/2020,8,1,7,2020,2,3,4
51,FO_VB-3,4,FO,VB,VB,2,3,3,233,Winter,1/7/2020,8,1,7,2020,6,7,5
52,FO_SHSS-3,4,FO,SH,SHSS,2,3,4,234,Winter,1/7/2020,8,1,7,2020,19,25,13
52,FO_SHSS-3,4,FO,SS,SHSS,2,3,4,234,Winter,1/7/2020,8,1,7,2020,10,12,9
53,FO_SS-3,4,FO,SS,SS,2,3,5,235,Winter,1/7/2020,8,1,7,2020,49,25,49
54,FO_SSVB-3,4,FO,SS,SSVB,2,3,6,236,Winter,1/7/2020,8,1,7,2020,0,0,0
54,FO_SSVB-3,4,FO,VB,SSVB,2,3,6,236,Winter,1/7/2020,8,1,7,2020,2,2,3
55,FO_SHSS-4,4,FO,SS,SHSS,2,4,1,241,Winter,1/7/2020,8,1,7,2020,17,12,14
55,FO_SHSS-4,4,FO,SH,SHSS,2,4,1,241,Winter,1/7/2020,8,1,7,2020,4,9,9
56,FO_SH-4,4,FO,SH,SH,2,4,2,242,Winter,1/7/2020,8,1,7,2020,30,36,38
57,FO_SSVB-4,4,FO,SS,SSVB,2,4,3,243,Winter,1/7/2020,8,1,7,2020,9,13,6
57,FO_SSVB-4,4,FO,VB,SSVB,2,4,3,243,Winter,1/7/2020,8,1,7,2020,3,1,1
58,FO_SS-4,4,FO,SS,SS,2,4,4,244,Winter,1/7/2020,8,1,7,2020,32,44,43
59,FO_VB-4,4,FO,VB,VB,2,4,5,245,Winter,1/7/2020,8,1,7,2020,6,4,5
60,FO_SHVB-4,4,FO,SH,SHVB,2,4,6,246,Winter,1/7/2020,8,1,7,2020,6,10,25
60,FO_SHVB-4,4,FO,VB,SHVB,2,4,6,246,Winter,1/7/2020,8,1,7,2020,2,2,0
61,FO_SHVB-5,4,FO,SH,SHVB,2,5,1,251,Winter,1/7/2020,8,1,7,2020,29,17,20
61,FO_SHVB-5,4,FO,VB,SHVB,2,5,1,251,Winter,1/7/2020,8,1,7,2020,3,2,3
62,FO_SS-5,4,FO,SS,SS,2,5,2,252,Winter,1/7/2020,8,1,7,2020,58,45,41
63,FO_SHSS-5,4,FO,SH,SHSS,2,5,3,253,Winter,1/7/2020,8,1,7,2020,22,17,13
63,FO_SHSS-5,4,FO,SS,SHSS,2,5,3,253,Winter,1/7/2020,8,1,7,2020,4,12,5
64,FO_VB-5,4,FO,VB,VB,2,5,4,254,Winter,1/7/2020,8,1,7,2020,5,4,6
65,FO_SSVB-5,4,FO,SS,SSVB,2,5,5,255,Winter,1/7/2020,8,1,7,2020,10,5,4
65,FO_SSVB-5,4,FO,VB,SSVB,2,5,5,255,Winter,1/7/2020,8,1,7,2020,3,4,5
66,FO_SH-5,4,FO,SH,SH,2,5,6,256,Winter,1/7/2020,8,1,7,2020,16,27,14
67,FO_SSVB-6,4,FO,SS,SSVB,2,6,1,261,Winter,1/7/2020,8,1,7,2020,4,2,15
67,FO_SSVB-6,4,FO,VB,SSVB,2,6,1,261,Winter,1/7/2020,8,1,7,2020,2,4,3
68,FO_VB-6,4,FO,VB,VB,2,6,2,262,Winter,1/7/2020,8,1,7,2020,5,3,7
69,FO_SH-6,4,FO,SH,SH,2,6,3,263,Winter,1/7/2020,8,1,7,2020,25,20,31
70,FO_SHVB-6,4,FO,SH,SHVB,2,6,4,264,Winter,1/7/2020,8,1,7,2020,2,2,7
70,FO_SHVB-6,4,FO,VB,SHVB,2,6,4,264,Winter,1/7/2020,8,1,7,2020,11,17,21
71,FO_SHSS-6,4,FO,SH,SHSS,2,6,5,265,Winter,1/7/2020,8,1,7,2020,6,9,7
71,FO_SHSS-6,4,FO,SS,SHSS,2,6,5,265,Winter,1/7/2020,8,1,7,2020,20,28,16
72,FO_SS-6,4,FO,SS,SS,2,6,6,266,Winter,1/7/2020,8,1,7,2020,22,39,26
73,HH_SH-1,14,HH,SH,SH,3,1,1,311,Winter,1/8/2020,8,1,8,2020,17,35,22
74,HH_SSVB-1,14,HH,SS,SSVB,3,1,2,312,Winter,1/8/2020,8,1,8,2020,17,7,20
74,HH_SSVB-1,14,HH,VB,SSVB,3,1,2,312,Winter,1/8/2020,8,1,8,2020,1,2,2
75,HH_SHVB-1,14,HH,SH,SHVB,3,1,3,313,Winter,1/8/2020,8,1,8,2020,21,17,27
75,HH_SHVB-1,14,HH,VB,SHVB,3,1,3,313,Winter,1/8/2020,8,1,8,2020,1,4,1
76,HH_SHSS-1,14,HH,SH,SHSS,3,1,4,314,Winter,1/8/2020,8,1,8,2020,15,23,14
76,HH_SHSS-1,14,HH,SS,SHSS,3,1,4,314,Winter,1/8/2020,8,1,8,2020,12,10,9
77,HH_VB-1,14,HH,VB,VB,3,1,5,315,Winter,1/8/2020,8,1,8,2020,7,5,3
78,HH_SS-1,14,HH,SS,SS,3,1,6,316,Winter,1/8/2020,8,1,8,2020,33,39,23
79,HH_VB-2,14,HH,VB,VB,3,2,1,321,Winter,1/8/2020,8,1,8,2020,3,2,8
80,HH_SHSS-2,14,HH,SH,SHSS,3,2,2,322,Winter,1/8/2020,8,1,8,2020,28,22,17
80,HH_SHSS-2,14,HH,SS,SHSS,3,2,2,322,Winter,1/8/2020,8,1,8,2020,2,5,6
81,HH_SS-2,14,HH,SS,SS,3,2,3,323,Winter,1/8/2020,8,1,8,2020,25,20,29
82,HH_SH-2,14,HH,SH,SH,3,2,4,324,Winter,1/8/2020,8,1,8,2020,30,59,48
83,HH_SHVB-2,14,HH,SH,SHVB,3,2,5,325,Winter,1/8/2020,8,1,8,2020,34,37,38
83,HH_SHVB-2,14,HH,VB,SHVB,3,2,5,325,Winter,1/8/2020,8,1,8,2020,4,3,3
84,HH_SSVB-2,14,HH,SS,SSVB,3,2,6,326,Winter,1/8/2020,8,1,8,2020,25,13,28
84,HH_SSVB-2,14,HH,VB,SSVB,3,2,6,326,Winter,1/8/2020,8,1,8,2020,1,2,3
85,HH_SHSS-3,14,HH,SH,SHSS,3,3,1,331,Winter,1/8/2020,8,1,8,2020,37,17,15
85,HH_SHSS-3,14,HH,SS,SHSS,3,3,1,331,Winter,1/8/2020,8,1,8,2020,4,9,9
86,HH_SHVB-3,14,HH,SH,SHVB,3,3,2,332,Winter,1/8/2020,8,1,8,2020,16,16,17
86,HH_SHVB-3,14,HH,VB,SHVB,3,3,2,332,Winter,1/8/2020,8,1,8,2020,2,0,1
87,HH_SSVB-3,14,HH,SS,SSVB,3,3,3,333,Winter,1/8/2020,8,1,8,2020,8,14,8
87,HH_SSVB-3,14,HH,VB,SSVB,3,3,3,333,Winter,1/8/2020,8,1,8,2020,3,1,4
88,HH_VB-3,14,HH,VB,VB,3,3,4,334,Winter,1/8/2020,8,1,8,2020,4,6,5
89,HH_SS-3,14,HH,SS,SS,3,3,5,335,Winter,1/8/2020,8,1,8,2020,20,15,11
90,HH_SH-3,14,HH,SH,SH,3,3,6,336,Winter,1/8/2020,8,1,8,2020,48,46,58
91,HH_SS-4,14,HH,SS,SS,3,4,1,341,Winter,1/8/2020,8,1,8,2020,28,20,20
92,HH_SH-4,14,HH,SH,SH,3,4,2,342,Winter,1/8/2020,8,1,8,2020,42,22,53
93,HH_VB-4,14,HH,VB,VB,3,4,3,343,Winter,1/8/2020,8,1,8,2020,4,5,4
94,HH_SHVB-4,14,HH,SH,SHVB,3,4,4,344,Winter,1/8/2020,8,1,8,2020,31,26,20
94,HH_SHVB-4,14,HH,VB,SHVB,3,4,4,344,Winter,1/8/2020,8,1,8,2020,2,4,4
95,HH_SSVB-4,14,HH,SS,SSVB,3,4,5,345,Winter,1/8/2020,8,1,8,2020,6,11,15
95,HH_SSVB-4,14,HH,VB,SSVB,3,4,5,345,Winter,1/8/2020,8,1,8,2020,3,2,2
96,HH_SHSS-4,14,HH,SH,SHSS,3,4,6,346,Winter,1/8/2020,8,1,8,2020,20,33,20
96,HH_SHSS-4,14,HH,SS,SHSS,3,4,6,346,Winter,1/8/2020,8,1,8,2020,6,4,5
97,HH_SSVB-5,14,HH,SS,SSVB,3,5,1,351,Winter,1/8/2020,8,1,8,2020,17,14,12
97,HH_SSVB-5,14,HH,VB,SSVB,3,5,1,351,Winter,1/8/2020,8,1,8,2020,3,4,3
98,HH_VB-5,14,HH,VB,VB,3,5,2,352,Winter,1/8/2020,8,1,8,2020,7,4,3
99,HH_SHSS-5,14,HH,SH,SHSS,3,5,3,353,Winter,1/8/2020,8,1,8,2020,24,42,8
99,HH_SHSS-5,14,HH,SS,SHSS,3,5,3,353,Winter,1/8/2020,8,1,8,2020,13,10,15
100,HH_SS-5,14,HH,SS,SS,3,5,4,354,Winter,1/8/2020,8,1,8,2020,20,25,12
101,HH_SH-5,14,HH,SH,SH,3,5,5,355,Winter,1/8/2020,8,1,8,2020,38,37,71
102,HH_SHVB-5,14,HH,SH,SHVB,3,5,6,356,Winter,1/8/2020,8,1,8,2020,38,17,25
102,HH_SHVB-5,14,HH,VB,SHVB,3,5,6,356,Winter,1/8/2020,8,1,8,2020,2,1,4
103,HH_SHVB-6,14,HH,SH,SHVB,3,6,1,361,Winter,1/8/2020,8,1,8,2020,1,1,6
103,HH_SHVB-6,14,HH,VB,SHVB,3,6,1,361,Winter,1/8/2020,8,1,8,2020,3,3,2
104,HH_SS-6,14,HH,SS,SS,3,6,2,362,Winter,1/8/2020,8,1,8,2020,2,11,3
105,HH_SH-6,14,HH,SH,SH,3,6,3,363,Winter,1/8/2020,8,1,8,2020,12,38,22
106,HH_SSVB-6,14,HH,SS,SSVB,3,6,4,364,Winter,1/8/2020,8,1,8,2020,1,4,3
106,HH_SSVB-6,14,HH,VB,SSVB,3,6,4,364,Winter,1/8/2020,8,1,8,2020,1,4,1
107,HH_SHSS-6,14,HH,SS,SHSS,3,6,5,365,Winter,1/8/2020,8,1,8,2020,28,15,9
107,HH_SHSS-6,14,HH,SH,SHSS,3,6,5,365,Winter,1/8/2020,8,1,8,2020,3,9,2
108,HH_VB-6,14,HH,VB,VB,3,6,6,366,Winter,1/8/2020,8,1,8,2020,5,5,7
109,OC_SHSS-1,15,OC,SH,SHSS,4,1,1,411,Winter,1/9/2020,8,1,9,2020,10,16,14
109,OC_SHSS-1,15,OC,SS,SHSS,4,1,1,411,Winter,1/9/2020,8,1,9,2020,10,15,15
110,OC_SS-1,15,OC,SS,SS,4,1,2,412,Winter,1/9/2020,8,1,9,2020,36,46,42
111,OC_SH-1,15,OC,SH,SH,4,1,3,413,Winter,1/9/2020,8,1,9,2020,22,35,23
112,OC_SSVB-1,15,OC,SS,SSVB,4,1,4,414,Winter,1/9/2020,8,1,9,2020,21,19,20
112,OC_SSVB-1,15,OC,VB,SSVB,4,1,4,414,Winter,1/9/2020,8,1,9,2020,4,0,5
113,OC_VB-1,15,OC,VB,VB,4,1,5,415,Winter,1/9/2020,8,1,9,2020,5,7,4
114,OC_SHVB-1,15,OC,SH,SHVB,4,1,6,415,Winter,1/9/2020,8,1,9,2020,7,15,19
114,OC_SHVB-1,15,OC,VB,SHVB,4,1,6,416,Winter,1/9/2020,8,1,9,2020,1,2,3
115,OC_SHVB-2,15,OC,SH,SHVB,4,2,1,421,Winter,1/9/2020,8,1,9,2020,17,13,14
115,OC_SHVB-2,15,OC,VB,SHVB,4,2,1,421,Winter,1/9/2020,8,1,9,2020,1,1,3
116,OC_VB-2,15,OC,VB,VB,4,2,2,422,Winter,1/9/2020,8,1,9,2020,3,5,6
117,OC_SHSS-2,15,OC,SH,SHSS,4,2,3,423,Winter,1/9/2020,8,1,9,2020,12,24,17
117,OC_SHSS-2,15,OC,SS,SHSS,4,2,3,423,Winter,1/9/2020,8,1,9,2020,18,21,6
118,OC_SS-2,15,OC,SS,SS,4,2,4,424,Winter,1/9/2020,8,1,9,2020,22,24,37
119,OC_SSVB-2,15,OC,SS,SSVB,4,2,5,425,Winter,1/9/2020,8,1,9,2020,26,13,19
119,OC_SSVB-2,15,OC,VB,SSVB,4,2,5,425,Winter,1/9/2020,8,1,9,2020,2,0,1
120,OC_SH-2,15,OC,SH,SH,4,2,6,426,Winter,1/9/2020,8,1,9,2020,37,58,37
121,OC_SSVB-3,15,OC,SS,SSVB,4,3,1,431,Winter,1/9/2020,8,1,9,2020,7,5,13
121,OC_SSVB-3,15,OC,VB,SSVB,4,3,1,431,Winter,1/9/2020,8,1,9,2020,2,1,2
122,OC_SH-3,15,OC,SH,SH,4,3,2,432,Winter,1/9/2020,8,1,9,2020,11,30,22
123,OC_VB-3,15,OC,VB,VB,4,3,3,433,Winter,1/9/2020,8,1,9,2020,4,5,4
124,OC_SHVB-3,15,OC,SH,SHVB,4,3,4,434,Winter,1/9/2020,8,1,9,2020,15,15,21
124,OC_SHVB-3,15,OC,VB,SHVB,4,3,4,434,Winter,1/9/2020,8,1,9,2020,2,2,1
125,OC_SHSS-3,15,OC,SH,SHSS,4,3,5,435,Winter,1/9/2020,8,1,9,2020,24,8,19
125,OC_SHSS-3,15,OC,SS,SHSS,4,3,5,435,Winter,1/9/2020,8,1,9,2020,13,9,18
126,OC_SS-3,15,OC,SS,SS,4,3,6,436,Winter,1/9/2020,8,1,9,2020,35,49,36
127,OC_SH-4,15,OC,SH,SH,4,4,1,441,Winter,1/9/2020,8,1,9,2020,30,16,35
128,OC_SSVB-4,15,OC,SS,SSVB,4,4,2,442,Winter,1/9/2020,8,1,9,2020,14,27,10
128,OC_SSVB-4,15,OC,VB,SSVB,4,4,2,442,Winter,1/9/2020,8,1,9,2020,1,1,1
129,OC_SS-4,15,OC,SS,SS,4,4,3,443,Winter,1/9/2020,8,1,9,2020,36,49,27
130,OC_VB-4,15,OC,VB,VB,4,4,4,444,Winter,1/9/2020,8,1,9,2020,8,3,5
131,OC_SHVB-4,15,OC,SH,SHVB,4,4,5,445,Winter,1/9/2020,8,1,9,2020,19,17,11
131,OC_SHVB-4,15,OC,VB,SHVB,4,4,5,445,Winter,1/9/2020,8,1,9,2020,1,2,2
132,OC_SHSS-4,15,OC,SH,SHSS,4,4,6,446,Winter,1/9/2020,8,1,9,2020,34,13,25
132,OC_SHSS-4,15,OC,SS,SHSS,4,4,6,446,Winter,1/9/2020,8,1,9,2020,2,22,10
133,OC_VB-5,15,OC,VB,VB,4,5,1,451,Winter,1/9/2020,8,1,9,2020,1,2,4
134,OC_SHSS-5,15,OC,SH,SHSS,4,5,2,452,Winter,1/9/2020,8,1,9,2020,29,19,22
134,OC_SHSS-5,15,OC,SS,SHSS,4,5,2,452,Winter,1/9/2020,8,1,9,2020,7,8,18
135,OC_SHVB-5,15,OC,SH,SHVB,4,5,3,453,Winter,1/9/2020,8,1,9,2020,30,21,16
135,OC_SHVB-5,15,OC,VB,SHVB,4,5,3,453,Winter,1/9/2020,8,1,9,2020,0,1,3
136,OC_SH-5,15,OC,SH,SH,4,5,4,454,Winter,1/9/2020,8,1,9,2020,38,35,29
137,OC_SS-5,15,OC,SS,SS,4,5,5,455,Winter,1/9/2020,8,1,9,2020,33,31,37
138,OC_SSVB-5,15,OC,SS,SSVB,4,5,6,456,Winter,1/9/2020,8,1,9,2020,11,16,13
138,OC_SSVB-5,15,OC,VB,SSVB,4,5,6,456,Winter,1/9/2020,8,1,9,2020,1,1,1
139,OC_SS-6,15,OC,SS,SS,4,6,1,461,Winter,1/9/2020,8,1,9,2020,13,37,32
140,OC_SHVB-6,15,OC,SH,SHVB,4,6,2,462,Winter,1/9/2020,8,1,9,2020,19,29,22
140,OC_SHVB-6,15,OC,VB,SHVB,4,6,2,462,Winter,1/9/2020,8,1,9,2020,4,2,3
141,OC_SSVB-6,15,OC,SS,SSVB,4,6,3,463,Winter,1/9/2020,8,1,9,2020,9,10,8
141,OC_SSVB-6,15,OC,VB,SSVB,4,6,3,463,Winter,1/9/2020,8,1,9,2020,1,2,4
142,OC_SHSS-6,15,OC,SH,SHSS,4,6,4,464,Winter,1/9/2020,8,1,9,2020,51,20,20
142,OC_SHSS-6,15,OC,SS,SHSS,4,6,4,464,Winter,1/9/2020,8,1,9,2020,12,17,5
143,OC_SH-6,15,OC,SH,SH,4,6,5,465,Winter,1/9/2020,8,1,9,2020,37,46,36
144,OC_VB-6,15,OC,VB,VB,4,6,6,466,Winter,1/9/2020,8,1,9,2020,3,5,4
