PlotID,PlotName,Month,Day,Year,SampleDate,Season,Location,CropTrt,Block,SiteNum,RowNumber,ColNum,Position,CanWgt_g,FreshWgt_g,DryWgt_g,FrhWgt_w/o_can+lid_g,DryWgt_w/o_can+lid_g,CanWgt_w/o_lid_g,Soil-wtr-cnt-g/g,Gravel_DryWgt_with_can_g,GravelDryWgt_g,SoilDryWgt_g,Soilwgt_w/o_can_g,Water_mL,Gravel+WaterVol_mL,GravelVol_mL,SoilVol_cm3,SoilBD_gcm3,SoilPorosity_percent
1,VF_SHSS-1,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,1,1,111,45,295,332,250,287,31,249,198.65,167.65,120,89,200,285,85,124.31,2.31,12.88%
2,VF_VB-1,10,28,2019,10/28/2019,Winter,VF,VB,1,1,1,2,112,45,230,272,185,227,31,184,179.76,148.76,78,47,200,280,80,129.31,1.76,33.76%
3,VF_SH-1,10,28,2019,10/28/2019,Winter,VF,SH,1,1,1,3,113,45,217,258,172,213,31,171,173.87,142.87,68,37,200,272,72,137.31,1.55,41.46%
4,VF_SHVB-1,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,1,4,114,45,187,227,142,182,31,141,126.62,95.62,86,55,200,250,50,159.31,1.14,56.89%
5,VF_SSVB-1,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,1,5,115,45,230,271,185,226,31,184,185.28,154.28,72,41,200,279,79,130.31,1.73,34.55%
6,VF_SS-1,10,28,2019,10/28/2019,Winter,VF,SS,1,1,1,6,116,45,243,282,198,237,31,197,175.17,144.17,94,63,200,270,70,139.31,1.7,35.80%
7,VF_SS-2,10,28,2019,10/28/2019,Winter,VF,SS,1,1,2,1,121,45,252,290,207,245,31,206,161.71,130.71,116,85,200,260,60,149.31,1.64,38.08%
8,VF_SHVB-2,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,2,2,122,45,288,326,243,281,31,242,177.87,146.87,134,103,200,280,80,129.31,2.17,18.00%
9,VF_SSVB-2,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,2,3,123,45,291,327,246,282,31,245,208.71,177.71,105,74,200,290,90,119.31,2.36,10.81%
10,VF_SH-2,10,28,2019,10/28/2019,Winter,VF,SH,1,1,2,4,124,45,282,322,237,277,31,236,206.32,175.32,103,72,200,290,90,119.31,2.32,12.39%
11,VF_VB-2,10,28,2019,10/28/2019,Winter,VF,VB,1,1,2,5,125,45,271,311,226,266,31,225,187.42,156.42,112,81,200,280,80,129.31,2.06,22.37%
12,VF_SHSS-2,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,2,6,126,45,233,275,188,230,31,187,175.41,144.41,86,55,200,275,75,134.31,1.71,35.38%
13,VF_VB-3,10,28,2019,10/28/2019,Winter,VF,VB,1,1,3,1,131,45,289,330,244,285,31,243,229.6,198.6,86,55,200,300,100,109.31,2.61,1.61%
14,VF_SSVB-3,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,3,2,132,45,244,283,199,238,31,198,182.3,151.3,87,56,200,285,85,124.31,1.91,27.75%
15,VF_SHVB-3,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,3,3,133,45,279,317,234,272,31,233,200.38,169.38,103,72,200,285,85,124.31,2.19,17.43%
16,VF_SHSS-3,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,3,4,134,45,244,285,199,240,31,198,190.69,159.69,81,50,200,280,80,129.31,1.86,29.96%
17,VF_SS-3,10,28,2019,10/28/2019,Winter,VF,SS,1,1,3,5,135,45,266,304,221,259,31,220,185.03,154.03,105,74,200,280,80,129.31,2,24.42%
18,VF_SH-3,10,28,2019,10/28/2019,Winter,VF,SH,1,1,3,6,136,45,303,340,258,295,31,257,195.91,164.91,130,99,200,280,80,129.31,2.28,13.91%
19,VF_SH-4,10,28,2019,10/28/2019,Winter,VF,SH,1,1,4,1,141,45,326,365,281,320,31,280,219.85,188.85,132,101,200,295,95,114.31,2.8,-5.64%
20,VF_SS-4,10,28,2019,10/28/2019,Winter,VF,SS,1,1,4,2,142,45,287,327,242,282,31,241,210,179,103,72,200,295,95,114.31,2.47,6.91%
21,VF_SHSS-4,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,4,3,143,45,255,295,210,250,31,209,177.64,146.64,104,73,200,270,70,139.31,1.79,32.28%
22,VF_VB-4,10,28,2019,10/28/2019,Winter,VF,VB,1,1,4,4,144,45,267,306,222,261,31,221,195.07,164.07,98,67,200,280,80,129.31,2.02,23.83%
23,VF_SHVB-4,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,4,5,145,45,313,350,268,305,31,267,186.41,155.41,150,119,200,280,80,129.31,2.36,10.99%
24,VF_SSVB-4,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,4,6,146,45,253,293,208,248,31,207,177.09,146.09,102,71,200,275,75,134.31,1.85,30.32%
25,VF_SHVB-5,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,5,1,151,45,305,342,260,297,31,259,196.59,165.59,133,102,200,280,80,129.31,2.3,13.33%
26,VF_SHSS-5,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,5,2,152,45,225,266,180,221,31,179,165.74,134.74,87,56,200,270,70,139.31,1.59,40.14%
27,VF_SS-5,10,28,2019,10/28/2019,Winter,VF,SS,1,1,5,3,153,45,245,284,200,239,31,199,169.62,138.62,101,70,200,270,70,139.31,1.72,35.26%
28,VF_SSVB-5,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,5,4,154,45,268,309,223,264,31,222,202.19,171.19,94,63,200,290,90,119.31,2.21,16.50%
29,VF_SH-5,10,28,2019,10/28/2019,Winter,VF,SH,1,1,5,5,155,45,270,309,225,264,31,224,164,133,131,100,200,260,60,149.31,1.77,33.28%
30,VF_VB-5,10,28,2019,10/28/2019,Winter,VF,VB,1,1,5,6,156,45,298,337,253,292,31,252,198.06,167.06,125,94,200,285,85,124.31,2.35,11.36%
31,VF_SSVB-6,10,28,2019,10/28/2019,Winter,VF,SSVB,1,1,6,1,161,45,300,338,255,293,31,254,196.85,165.85,128,97,200,290,90,119.31,2.46,7.33%
32,VF_SH-6,10,28,2019,10/28/2019,Winter,VF,SH,1,1,6,2,162,45,262,304,217,259,31,216,176.22,145.22,114,83,200,280,80,129.31,2,24.42%
33,VF_SS-6,10,28,2019,10/28/2019,Winter,VF,SS,1,1,6,3,163,45,287,327,242,282,31,241,209.49,178.49,104,73,200,295,95,114.31,2.47,6.91%
34,VF_SS-6,10,28,2019,10/28/2019,Winter,VF,SS,1,1,6,4,164,45,279,316,234,271,31,233,170.57,139.57,132,101,200,270,70,139.31,1.95,26.59%
35,VF_SHSS-6,10,28,2019,10/28/2019,Winter,VF,SHSS,1,1,6,5,165,45,273,313,228,268,31,227,194.93,163.93,103,72,200,280,80,129.31,2.07,21.79%
36,VF_SHVB-6,10,28,2019,10/28/2019,Winter,VF,SHVB,1,1,6,6,166,45,293,331,248,286,31,247,170.8,139.8,148,117,200,270,70,139.31,2.05,22.53%
73,HH_SH-1,10,30,2019,10/28/2019,Winter,HH,SH,14,3,1,1,311,45,310,288,265,243,31,264,173.72,142.72,100,69,200,280,80,129.31,1.88,29.09%
74,HH_SSVB-1,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,1,2,312,45,261,239,216,194,31,215,109.24,78.24,117,86,200,240,40,169.31,1.15,56.76%
75,HH_SHVB-1,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,1,3,313,45,319,299,274,254,31,273,156.46,125.46,128,97,200,265,65,144.31,1.76,33.58%
76,HH_SHSS-1,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,1,4,314,45,287,264,242,219,31,241,155.51,124.51,94,63,200,270,70,139.31,1.57,40.68%
77,HH_VB-1,10,30,2019,10/28/2019,Winter,HH,VB,14,3,1,5,315,45,262,243,217,198,31,216,121.46,90.46,107,76,200,250,50,159.31,1.24,53.10%
78,HH_SS-1,10,30,2019,10/28/2019,Winter,HH,SS,14,3,1,6,316,45,239,207,194,162,31,193,80.17,49.17,113,82,200,230,30,179.31,0.9,65.91%
79,HH_VB-2,10,30,2019,10/28/2019,Winter,HH,VB,14,3,2,1,321,45,302,285,257,240,31,256,170.84,139.84,100,69,200,280,80,129.31,1.86,29.96%
80,HH_SHSS-2,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,2,2,322,45,252,240,207,195,31,206,154.37,123.37,71,40,200,265,65,144.31,1.35,49.01%
81,HH_SS-2,10,30,2019,10/28/2019,Winter,HH,SS,14,3,2,3,323,45,296,281,251,236,31,250,183.48,152.48,83,52,200,285,85,124.31,1.9,28.36%
82,HH_SH-2,10,30,2019,10/28/2019,Winter,HH,SH,14,3,2,4,324,45,276,262,231,217,31,230,188.5,157.5,59,28,200,290,90,119.31,1.82,31.37%
83,HH_SHVB-2,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,2,5,325,45,268,256,223,211,31,222,179.81,148.81,65,34,200,280,80,129.31,1.63,38.42%
84,HH_SSVB-2,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,2,6,326,45,316,292,271,247,31,270,155.19,124.19,123,92,200,265,65,144.31,1.71,35.41%
85,HH_SHSS-3,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,3,1,331,45,262,250,217,205,31,216,169.67,138.67,67,36,200,270,70,139.31,1.47,44.47%
86,HH_SHVB-3,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,3,2,332,45,284,267,239,222,31,238,179.07,148.07,84,53,200,280,80,129.31,1.72,35.21%
87,HH_SSVB-3,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,3,3,333,45,251,235,206,190,31,205,156.57,125.57,65,34,200,270,70,139.31,1.36,48.53%
88,HH_VB-3,10,30,2019,10/28/2019,Winter,HH,VB,14,3,3,4,334,45,285,260,240,215,31,239,149.33,118.33,97,66,200,270,70,139.31,1.54,41.76%
89,HH_SS-3,10,30,2019,10/28/2019,Winter,HH,SS,14,3,3,5,335,45,300,278,255,233,31,254,140.68,109.68,123,92,200,255,55,154.31,1.51,43.02%
90,HH_SH-3,10,30,2019,10/28/2019,Winter,HH,SH,14,3,3,6,336,45,287,270,242,225,31,241,160.39,129.39,96,65,200,275,75,134.31,1.68,36.78%
91,HH_SS-4,10,30,2019,10/28/2019,Winter,HH,SS,14,3,4,1,341,45,294,279,249,234,31,248,191.69,160.69,73,42,200,280,80,129.31,1.81,31.71%
92,HH_SH-4,10,30,2019,10/28/2019,Winter,HH,SH,14,3,4,2,342,45,279,261,234,216,31,233,159.42,128.42,87,56,200,265,65,144.31,1.5,43.52%
93,HH_VB-4,10,30,2019,10/28/2019,Winter,HH,VB,14,3,4,3,343,45,288,276,243,231,31,242,173.24,142.24,89,58,200,280,80,129.31,1.79,32.59%
94,HH_SHVB-4,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,4,4,344,45,300,277,255,232,31,254,165.27,134.27,98,67,200,270,70,139.31,1.67,37.16%
95,HH_SSVB-4,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,4,5,345,45,276,251,231,206,31,230,135.83,104.83,101,70,200,260,60,149.31,1.38,47.94%
96,HH_SHSS-4,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,4,6,346,45,279,248,234,203,31,233,139.66,108.66,96,65,200,260,60,149.31,1.36,48.69%
97,HH_SSVB-5,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,5,1,351,45,279,267,234,222,31,233,157.52,126.52,96,65,200,265,65,144.31,1.54,41.95%
98,HH_VB-5,10,30,2019,10/28/2019,Winter,HH,VB,14,3,5,2,352,45,270,254,225,209,31,224,157.48,126.48,82,51,200,270,70,139.31,1.5,43.39%
99,HH_SHSS-5,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,5,3,353,45,290,268,245,223,31,244,159.43,128.43,95,64,200,270,70,139.31,1.6,39.59%
100,HH_SS-5,10,30,2019,10/28/2019,Winter,HH,SS,14,3,5,4,354,45,249,234,204,189,31,203,138.89,107.89,82,51,200,260,60,149.31,1.27,52.23%
101,HH_SH-5,10,30,2019,10/28/2019,Winter,HH,SH,14,3,5,5,355,45,263,242,218,197,31,217,166.71,135.71,61,30,200,270,70,139.31,1.41,46.64%
102,HH_SHVB-5,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,5,6,356,45,212,190,167,145,31,166,98.97,67.97,77,46,200,235,35,174.31,0.83,68.61%
103,HH_SHVB-6,10,30,2019,10/28/2019,Winter,HH,SHVB,14,3,6,1,361,45,306,280,261,235,31,260,174.12,143.12,91,60,200,275,75,134.31,1.75,33.97%
104,HH_SS-6,10,30,2019,10/28/2019,Winter,HH,SS,14,3,6,2,362,45,248,219,203,174,31,202,116.32,85.32,88,57,200,250,50,159.31,1.09,58.78%
105,HH_SH-6,10,30,2019,10/28/2019,Winter,HH,SH,14,3,6,3,363,45,287,262,242,217,31,241,166.16,135.16,82,51,200,270,70,139.31,1.56,41.22%
106,HH_SSVB-6,10,30,2019,10/28/2019,Winter,HH,SSVB,14,3,6,4,364,45,292,261,247,216,31,246,162.59,131.59,85,54,200,270,70,139.31,1.55,41.49%
107,HH_SHSS-6,10,30,2019,10/28/2019,Winter,HH,SHSS,14,3,6,5,365,45,285,259,240,214,31,239,172.36,141.36,71,40,200,270,70,139.31,1.54,42.03%
108,HH_VB-6,10,30,2019,10/28/2019,Winter,HH,VB,14,3,6,6,366,45,287,248,242,203,31,241,144.87,113.87,89,58,200,260,60,149.31,1.36,48.69%
