Plot_ID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,Day,Month,Year,BeakerWgt_g,Wt_Soil_g,PreIgnitionWT_g,PostIgnitionWgt_g,AshWt_g,LOIorSOM_percent_M1,LOIorSOM_percent_M2
1,1,VF,VF_SHSS-1,SHSS,1,1,1,111,Summer,5/6/2019,6,5,2019,12.95,0.32,13.27,13.26,0.31,-3.2,3.1
2,1,VF,VF_VB-1,VB,1,1,2,112,Summer,5/6/2019,6,5,2019,12.89,0.36,13.25,13.23,0.34,-5.9,5.6
3,1,VF,VF_SH-1,SH,1,1,3,113,Summer,5/6/2019,6,5,2019,12.73,0.36,13.09,13.07,0.34,-5.9,5.6
4,1,VF,VF_SHVB-1,SHVB,1,1,4,114,Summer,5/6/2019,6,5,2019,13.13,0.37,13.5,13.49,0.36,-2.8,2.7
5,1,VF,VF_SSVB-1,SSVB,1,1,5,115,Summer,5/6/2019,6,5,2019,13.07,0.35,13.42,13.38,0.31,-12.9,11.4
6,1,VF,VF_SS-1,SS,1,1,6,116,Summer,5/6/2019,6,5,2019,13.03,0.39,13.42,13.38,0.35,-11.4,10.3
7,1,VF,VF_SS-2,SS,1,2,1,121,Summer,5/6/2019,6,5,2019,13.01,0.3,13.31,13.29,0.28,-7.1,6.7
8,1,VF,VF_SHVB-2,SHVB,1,2,2,122,Summer,5/6/2019,6,5,2019,13.05,0.36,13.41,13.37,0.32,-12.5,11.1
9,1,VF,VF_SSVB-2,SSVB,1,2,3,123,Summer,5/6/2019,6,5,2019,13.08,0.37,13.45,13.41,0.33,-12.1,10.8
10,1,VF,VF_SH-2,SH,1,2,4,124,Summer,5/6/2019,6,5,2019,13.07,0.35,13.42,13.39,0.32,-9.4,8.6
11,1,VF,VF_VB-2,VB,1,2,5,125,Summer,5/6/2019,6,5,2019,13.16,0.3,13.46,13.43,0.27,-11.1,10
12,1,VF,VF_SHSS-2,SHSS,1,2,6,126,Summer,5/6/2019,6,5,2019,12.79,0.25,13.04,13.04,0.25,0,0
13,1,VF,VF_VB-3,VB,1,3,1,131,Summer,5/6/2019,6,5,2019,13.04,0.32,13.36,13.32,0.28,-14.3,12.5
14,1,VF,VF_SSVB-3,SSVB,1,3,2,132,Summer,5/6/2019,6,5,2019,13.13,0.27,13.4,13.38,0.25,-8,7.4
15,1,VF,VF_SHVB-3,SHVB,1,3,3,133,Summer,5/6/2019,6,5,2019,12.78,0.26,13.04,13.05,0.27,3.7,-3.8
16,1,VF,VF_SHSS-3,SHSS,1,3,4,134,Summer,5/6/2019,6,5,2019,13.04,0.26,13.3,13.39,0.35,25.7,-34.6
17,1,VF,VF_SS-3,SS,1,3,5,135,Summer,5/6/2019,6,5,2019,12.81,0.33,13.14,13.15,0.34,2.9,-3
18,1,VF,VF_SH-3,SH,1,3,6,136,Summer,5/6/2019,6,5,2019,13.1,0.29,13.39,13.38,0.28,-3.6,3.4
19,1,VF,VF_SH-4,SH,1,4,1,141,Summer,5/6/2019,6,5,2019,13.06,0.28,13.34,13.3,0.24,-16.7,14.3
20,1,VF,VF_SS-4,SS,1,4,2,142,Summer,5/6/2019,6,5,2019,12.85,0.37,13.22,13.19,0.34,-8.8,8.1
21,1,VF,VF_SHSS-4,SHSS,1,4,3,143,Summer,5/6/2019,6,5,2019,13.13,0.34,13.47,13.45,0.32,-6.3,5.9
22,1,VF,VF_VB-4,VB,1,4,4,144,Summer,5/6/2019,6,5,2019,13.19,0.36,13.55,13.51,0.32,-12.5,11.1
23,1,VF,VF_SHVB-4,SHVB,1,4,5,145,Summer,5/6/2019,6,5,2019,13.03,0.3,13.33,13.32,0.29,-3.4,3.3
24,1,VF,VF_SSVB-4,SSVB,1,4,6,146,Summer,5/6/2019,6,5,2019,12.84,0.28,13.12,13.1,0.26,-7.7,7.1
25,1,VF,VF_SHVB-5,SHVB,1,5,1,151,Summer,5/6/2019,6,5,2019,13.04,0.27,13.31,13.3,0.26,-3.8,3.7
26,1,VF,VF_SHSS-5,SHSS,1,5,2,152,Summer,5/6/2019,6,5,2019,12.75,0.26,13.01,12.99,0.24,-8.3,7.7
27,1,VF,VF_SS-5,SS,1,5,3,153,Summer,5/6/2019,6,5,2019,12.82,0.36,13.18,13.15,0.33,-9.1,8.3
28,1,VF,VF_SSVB-5,SSVB,1,5,4,154,Summer,5/6/2019,6,5,2019,13.15,0.3,13.45,13.43,0.28,-7.1,6.7
29,1,VF,VF_SH-5,SH,1,5,5,155,Summer,5/6/2019,6,5,2019,13.11,0.35,13.46,13.48,0.37,5.4,-5.7
30,1,VF,VF_VB-5,VB,1,5,6,156,Summer,5/6/2019,6,5,2019,13.12,0.38,13.5,13.48,0.36,-5.6,5.3
31,1,VF,VF_SSVB-6,SSVB,1,6,1,161,Summer,5/6/2019,6,5,2019,13.13,0.36,13.49,13.46,0.33,-9.1,8.3
32,1,VF,VF_SH-6,SH,1,6,2,162,Summer,5/6/2019,6,5,2019,13.06,0.38,13.44,13.4,0.34,-11.8,10.5
33,1,VF,VF_SS-6,SS,1,6,3,163,Summer,5/6/2019,6,5,2019,13.08,0.3,13.38,13.37,0.29,-3.4,3.3
34,1,VF,VF_VB-6,VB,1,6,4,164,Summer,5/6/2019,6,5,2019,13.14,0.35,13.49,13.38,0.24,-45.8,31.4
35,1,VF,VF_SHSS-6,SHSS,1,6,5,165,Summer,5/6/2019,6,5,2019,12.79,0.31,13.1,13.09,0.3,-3.3,3.2
36,1,VF,VF_SHVB-6,SHVB,1,6,6,166,Summer,5/6/2019,6,5,2019,13.16,0.3,13.46,13.44,0.28,-7.1,6.7
37,4,FO,FO_SS-1,SS,2,1,1,211,Summer,5/8/2019,8,5,2019,13.11,0.44,13.55,13.48,0.37,-18.9,15.9
38,4,FO,FO_SHSS-1,SHSS,2,1,2,213,Summer,5/8/2019,8,5,2019,13.06,0.35,13.41,13.4,0.34,-2.9,2.9
39,4,FO,FO_SHVB-1,SHVB,2,1,3,213,Summer,5/8/2019,8,5,2019,12.79,0.36,13.15,13.04,0.25,-44,30.6
40,4,FO,FO_SSVB-1,SSVB,2,1,4,214,Summer,5/8/2019,8,5,2019,12.8,0.36,13.16,13.04,0.24,-50,33.3
41,4,FO,FO_SH-1,SH,2,1,5,215,Summer,5/8/2019,8,5,2019,13.08,0.43,13.51,13.43,0.35,-22.9,18.6
42,4,FO,FO_VB-1,VB,2,1,6,216,Summer,5/8/2019,8,5,2019,13.09,0.34,13.43,13.11,0.02,-1600,94.1
43,4,FO,FO_VB-2,VB,2,2,1,221,Summer,5/8/2019,8,5,2019,13.05,0.45,13.5,13.08,0.03,-1400,93.3
44,4,FO,FO_SSVB-2,SSVB,2,2,2,222,Summer,5/8/2019,8,5,2019,13.1,0.44,13.54,13.17,0.07,-528.6,84.1
45,4,FO,FO_SS-2,SS,2,2,3,223,Summer,5/8/2019,8,5,2019,12.82,0.42,13.24,13.51,0.69,39.1,-64.3
46,4,FO,FO_SH-2,SH,2,2,4,224,Summer,5/8/2019,8,5,2019,12.82,0.44,13.26,13.31,0.49,10.2,-11.4
47,4,FO,FO_SHVB-2,SHVB,2,2,5,225,Summer,5/8/2019,8,5,2019,13.16,0.46,13.62,13.46,0.3,-53.3,34.8
48,4,FO,FO_SHSS-2,SHSS,2,2,6,226,Summer,5/8/2019,8,5,2019,13.04,0.39,13.43,13.36,0.32,-21.9,17.9
49,4,FO,FO_SH-3,SH,2,3,1,231,Summer,5/8/2019,8,5,2019,13.05,0.48,13.53,13.16,0.11,-336.4,77.1
50,4,FO,FO_SHVB-3,SHVB,2,3,2,232,Summer,5/8/2019,8,5,2019,12.77,0.44,13.21,13.13,0.36,-22.2,18.2
51,4,FO,FO_VB-3,VB,2,3,3,233,Summer,5/8/2019,8,5,2019,13.15,0.46,13.61,13.05,-0.1,560,121.7
52,4,FO,FO_SHSS-3,SHSS,2,3,4,234,Summer,5/8/2019,8,5,2019,12.83,0.39,13.22,13.38,0.55,29.1,-41
53,4,FO,FO_SS-3,SS,2,3,5,235,Summer,5/8/2019,8,5,2019,12.87,0.47,13.34,13.17,0.3,-56.7,36.2
54,4,FO,FO_SSVB-3,SSVB,2,3,6,236,Summer,5/8/2019,8,5,2019,12.86,0.46,13.32,13.14,0.28,-64.3,39.1
55,4,FO,FO_SHSS-4,SHSS,2,4,1,241,Summer,5/8/2019,8,5,2019,13.13,0.43,13.56,13.43,0.3,-43.3,30.2
56,4,FO,FO_SH-4,SH,2,4,2,242,Summer,5/8/2019,8,5,2019,13.09,0.47,13.56,13.39,0.3,-56.7,36.2
57,4,FO,FO_SSVB-4,SSVB,2,4,3,243,Summer,5/8/2019,8,5,2019,13.03,0.37,13.4,13.6,0.57,35.1,-54.1
58,4,FO,FO_SS-4,SS,2,4,4,244,Summer,5/8/2019,8,5,2019,13.04,0.45,13.49,13.27,0.23,-95.7,48.9
59,4,FO,FO_VB-4,VB,2,4,5,245,Summer,5/8/2019,8,5,2019,13.21,0.46,13.67,13.17,-0.04,1250,108.7
60,4,FO,FO_SHVB-4,SHVB,2,4,6,246,Summer,5/8/2019,8,5,2019,12.78,0.32,13.1,12.97,0.19,-68.4,40.6
61,4,FO,FO_SHVB-5,SHVB,2,5,1,251,Summer,5/8/2019,8,5,2019,12.87,0.36,13.23,13.37,0.5,28,-38.9
62,4,FO,FO_SS-5,SS,2,5,2,252,Summer,5/8/2019,8,5,2019,12.92,0.45,13.37,13.52,0.6,25,-33.3
63,4,FO,FO_SHSS-5,SHSS,2,5,3,253,Summer,5/8/2019,8,5,2019,13.09,0.45,13.54,13.46,0.37,-21.6,17.8
64,4,FO,FO_VB-5,VB,2,5,4,254,Summer,5/8/2019,8,5,2019,13.12,0.46,13.58,13.52,0.4,-15,13
65,4,FO,FO_SSVB-5,SSVB,2,5,5,255,Summer,5/8/2019,8,5,2019,12.98,0.47,13.45,13.45,0.47,0,0
66,4,FO,FO_SH-5,SH,2,5,6,256,Summer,5/8/2019,8,5,2019,13.12,0.45,13.57,13.35,0.23,-95.7,48.9
67,4,FO,FO_SSVB-6,SSVB,2,6,1,261,Summer,5/8/2019,8,5,2019,12.81,0.48,13.29,13.23,0.42,-14.3,12.5
68,4,FO,FO_VB-6,VB,2,6,2,262,Summer,5/8/2019,8,5,2019,13.11,0.47,13.58,13.41,0.3,-56.7,36.2
69,4,FO,FO_SH-6,SH,2,6,3,263,Summer,5/8/2019,8,5,2019,13.15,0.45,13.6,13.36,0.21,-114.3,53.3
70,4,FO,FO_SHVB-6,SHVB,2,6,4,264,Summer,5/8/2019,8,5,2019,13.04,0.43,13.47,13.36,0.32,-34.4,25.6
71,4,FO,FO_SHSS-6,SHSS,2,6,5,265,Summer,5/8/2019,8,5,2019,13.18,0.47,13.65,13.16,-0.02,2450,104.3
72,4,FO,FO_SS-6,SS,2,6,6,266,Summer,5/8/2019,8,5,2019,12.83,0.42,13.25,13.4,0.57,26.3,-35.7
73,14,HH,HH_SH-1,SH,3,1,1,311,Summer,5/2/2019,2,5,2019,12.83,0.33,13.16,13.08,0.25,-32,24.2
74,14,HH,HH_SSVB-1,SSVB,3,1,2,312,Summer,5/2/2019,2,5,2019,13.18,0.36,13.54,13.44,0.26,-38.5,27.8
75,14,HH,HH_SHVB-1,SHVB,3,1,3,313,Summer,5/2/2019,2,5,2019,12.76,0.21,12.97,12.93,0.17,-23.5,19
76,14,HH,HH_SHSS-1,SHSS,3,1,4,314,Summer,5/2/2019,2,5,2019,13.01,0.31,13.32,13.27,0.26,-19.2,16.1
77,14,HH,HH_VB-1,VB,3,1,5,315,Summer,5/2/2019,2,5,2019,12.7,0.3,13,12.93,0.23,-30.4,23.3
78,14,HH,HH_SS-1,SS,3,1,6,316,Summer,5/2/2019,2,5,2019,12.84,0.27,13.11,13.07,0.23,-17.4,14.8
79,14,HH,HH_VB-2,VB,3,2,1,321,Summer,5/2/2019,2,5,2019,12.81,0.32,13.13,13.07,0.26,-23.1,18.8
80,14,HH,HH_SHSS-2,SHSS,3,2,2,322,Summer,5/2/2019,2,5,2019,13.18,0.39,13.57,13.49,0.31,-25.8,20.5
81,14,HH,HH_SS-2,SS,3,2,3,323,Summer,5/2/2019,2,5,2019,12.89,0.38,13.27,13.17,0.28,-35.7,26.3
82,14,HH,HH_SH-2,SH,3,2,4,324,Summer,5/2/2019,2,5,2019,12.82,0.26,13.08,13.03,0.21,-23.8,19.2
83,14,HH,HH_SHVB-2,SHVB,3,2,5,325,Summer,5/2/2019,2,5,2019,13.19,0.38,13.57,13.48,0.29,-31,23.7
84,14,HH,HH_SSVB-2,SSVB,3,2,6,326,Summer,5/2/2019,2,5,2019,13.21,0.31,13.52,13.47,0.26,-19.2,16.1
85,14,HH,HH_SHSS-3,SHSS,3,3,1,331,Summer,5/2/2019,2,5,2019,12.83,0.38,13.21,13.15,0.32,-18.7,15.8
86,14,HH,HH_SHVB-3,SHVB,3,3,2,332,Summer,5/2/2019,2,5,2019,12.77,0.34,13.11,13.02,0.25,-36,26.5
87,14,HH,HH_SSVB-3,SSVB,3,3,3,333,Summer,5/2/2019,2,5,2019,13.22,0.39,13.61,13.56,0.34,-14.7,12.8
88,14,HH,HH_VB-3,VB,3,3,4,334,Summer,5/2/2019,2,5,2019,13.14,0.32,13.46,13.4,0.26,-23.1,18.8
89,14,HH,HH_SS-3,SS,3,3,5,335,Summer,5/2/2019,2,5,2019,13.1,0.36,13.46,13.41,0.31,-16.1,13.9
90,14,HH,HH_SH-3,SH,3,3,6,336,Summer,5/2/2019,2,5,2019,13.15,0.38,13.53,13.49,0.34,-11.8,10.5
91,14,HH,HH_SS-4,SS,3,4,1,341,Summer,5/2/2019,2,5,2019,12.83,0.39,13.22,13.16,0.33,-18.2,15.4
92,14,HH,HH_SH-4,SH,3,4,2,342,Summer,5/2/2019,2,5,2019,13.25,0.26,13.51,13.41,0.16,-62.5,38.5
93,14,HH,HH_VB-4,VB,3,4,3,343,Summer,5/2/2019,2,5,2019,13.07,0.34,13.41,13.35,0.28,-21.4,17.6
94,14,HH,HH_SHVB-4,SHVB,3,4,4,344,Summer,5/2/2019,2,5,2019,13.19,0.34,13.53,13.47,0.28,-21.4,17.6
95,14,HH,HH_SSVB-4,SSVB,3,4,5,345,Summer,5/2/2019,2,5,2019,12.81,0.31,13.12,13.07,0.26,-19.2,16.1
96,14,HH,HH_SHSS-4,SHSS,3,4,6,346,Summer,5/2/2019,2,5,2019,13.02,0.32,13.34,13.34,0.32,0,0
97,14,HH,HH_SSVB-5,SSVB,3,5,1,351,Summer,5/2/2019,2,5,2019,13.8,0.33,14.13,13.29,-0.51,164.7,254.5
98,14,HH,HH_VB-5,VB,3,5,2,352,Summer,5/2/2019,2,5,2019,12.83,0.35,13.18,13.36,0.53,34,-51.4
99,14,HH,HH_SHSS-5,SHSS,3,5,3,353,Summer,5/2/2019,2,5,2019,12.8,0.33,13.13,13.1,0.3,-10,9.1
100,14,HH,HH_SS-5,SS,3,5,4,354,Summer,5/2/2019,2,5,2019,13.1,0.38,13.48,13.07,-0.03,1366.7,107.9
101,14,HH,HH_SH-5,SH,3,5,5,355,Summer,5/2/2019,2,5,2019,13.05,0.36,13.41,13.41,0.36,0,0
102,14,HH,HH_SHVB-5,SHVB,3,5,6,356,Summer,5/2/2019,2,5,2019,12.81,0.3,13.11,13.35,0.54,44.4,-80
103,14,HH,HH_SHVB-6,SHVB,3,6,1,361,Summer,5/2/2019,2,5,2019,13.02,0.36,13.38,13.04,0.02,-1700,94.4
104,14,HH,HH_SS-6,SS,3,6,2,362,Summer,5/2/2019,2,5,2019,13.09,0.39,13.48,13.33,0.24,-62.5,38.5
105,14,HH,HH_SH-6,SH,3,6,3,363,Summer,5/2/2019,2,5,2019,12.79,0.37,13.16,13.38,0.59,37.3,-59.5
106,14,HH,HH_SSVB-6,SSVB,3,6,4,364,Summer,5/2/2019,2,5,2019,13.01,0.34,13.35,13.07,0.06,-466.7,82.4
107,14,HH,HH_SHSS-6,SHSS,3,6,5,365,Summer,5/2/2019,2,5,2019,13.08,0.32,13.4,13.28,0.2,-60,37.5
108,14,HH,HH_VB-6,VB,3,6,6,366,Summer,5/2/2019,2,5,2019,13.05,0.36,13.41,13.35,0.3,-20,16.7
109,15,OC,OC_SHSS-1,SHSS,4,1,1,411,Summer,5/8/2019,8,5,2019,13.2,0.47,13.67,13.55,0.35,-34.3,25.5
110,15,OC,OC_SS-1,SS,4,1,2,412,Summer,5/8/2019,8,5,2019,12.8,0.36,13.16,13.11,0.31,-16.1,13.9
111,15,OC,OC_SH-1,SH,4,1,3,413,Summer,5/8/2019,8,5,2019,13.04,0.41,13.45,13.39,0.35,-17.1,14.6
112,15,OC,OC_SSVB-1,SSVB,4,1,4,414,Summer,5/8/2019,8,5,2019,12.89,0.31,13.2,13.08,0.19,-63.2,38.7
113,15,OC,OC_VB-1,VB,4,1,5,415,Summer,5/8/2019,8,5,2019,13.15,0.35,13.5,13.43,0.28,-25,20
114,15,OC,OC_SHVB-1,SHVB,4,1,6,416,Summer,5/8/2019,8,5,2019,12.78,0.42,13.2,13.48,0.7,40,-66.7
115,15,OC,OC_SHVB-2,SHVB,4,2,1,421,Summer,5/8/2019,8,5,2019,12.86,0.33,13.19,13.42,0.56,41.1,-69.7
116,15,OC,OC_VB-2,VB,4,2,2,422,Summer,5/8/2019,8,5,2019,12.85,0.43,13.28,13.46,0.61,29.5,-41.9
117,15,OC,OC_SHSS-2,SHSS,4,2,3,423,Summer,5/8/2019,8,5,2019,13.19,0.43,13.62,13.5,0.31,-38.7,27.9
118,15,OC,OC_SS-2,SS,4,2,4,424,Summer,5/8/2019,8,5,2019,13.01,0.39,13.4,13.2,0.19,-105.3,51.3
119,15,OC,OC_SSVB-2,SSVB,4,2,5,425,Summer,5/8/2019,8,5,2019,13.16,0.42,13.58,13.19,0.03,-1300,92.9
120,15,OC,OC_SH-2,SH,4,2,6,426,Summer,5/8/2019,8,5,2019,13.05,0.39,13.44,13.59,0.54,27.8,-38.5
121,15,OC,OC_SSVB-3,SSVB,4,3,1,431,Summer,5/8/2019,8,5,2019,13.02,0.38,13.4,13.37,0.35,-8.6,7.9
122,15,OC,OC_SH-3,SH,4,3,2,432,Summer,5/8/2019,8,5,2019,12.83,0.42,13.25,13.5,0.67,37.3,-59.5
123,15,OC,OC_VB-3,VB,4,3,3,433,Summer,5/8/2019,8,5,2019,12.77,0.39,13.16,13.17,0.4,2.5,-2.6
124,15,OC,OC_SHVB-3,SHVB,4,3,4,434,Summer,5/8/2019,8,5,2019,13.09,0.39,13.48,13.57,0.48,18.8,-23.1
125,15,OC,OC_SHSS-3,SHSS,4,3,5,435,Summer,5/8/2019,8,5,2019,12.84,0.41,13.25,13.19,0.35,-17.1,14.6
126,15,OC,OC_SS-3,SS,4,3,6,436,Summer,5/8/2019,8,5,2019,12.86,0.44,13.3,13.3,0.44,0,0
127,15,OC,OC_SH-4,SH,4,4,1,441,Summer,5/8/2019,8,5,2019,13.06,0.48,13.54,13.28,0.22,-118.2,54.2
128,15,OC,OC_SSVB-4,SSVB,4,4,2,442,Summer,5/8/2019,8,5,2019,13.08,0.39,13.47,13.5,0.42,7.1,-7.7
129,15,OC,OC_SS-4,SS,4,4,3,443,Summer,5/8/2019,8,5,2019,13.25,0.48,13.73,13.52,0.27,-77.8,43.8
130,15,OC,OC_VB-4,VB,4,4,4,444,Summer,5/8/2019,8,5,2019,13.01,0.36,13.37,13.38,0.37,2.7,-2.8
131,15,OC,OC_SHVB-4,SHVB,4,4,5,445,Summer,5/8/2019,8,5,2019,12.8,0.48,13.28,13.48,0.68,29.4,-41.7
132,15,OC,OC_SHSS-4,SHSS,4,4,6,446,Summer,5/8/2019,8,5,2019,12.79,0.32,13.11,13.66,0.87,63.2,-171.9
133,15,OC,OC_VB-5,VB,4,5,1,451,Summer,5/8/2019,8,5,2019,13.07,0.41,13.48,13.08,0.01,-4000,97.6
134,15,OC,OC_SHSS-5,SHSS,4,5,2,452,Summer,5/8/2019,8,5,2019,13.17,0.47,13.64,13.24,0.07,-571.4,85.1
135,15,OC,OC_SHVB-5,SHVB,4,5,3,453,Summer,5/8/2019,8,5,2019,13.09,0.49,13.58,13.46,0.37,-32.4,24.5
136,15,OC,OC_SH-5,SH,4,5,4,454,Summer,5/8/2019,8,5,2019,13.23,0.44,13.67,13.34,0.11,-300,75
137,15,OC,OC_SS-5,SS,4,5,5,455,Summer,5/8/2019,8,5,2019,13.17,0.43,13.6,13.55,0.38,-13.2,11.6
138,15,OC,OC_SSVB-5,SSVB,4,5,6,456,Summer,5/8/2019,8,5,2019,13.04,0.42,13.46,13.41,0.37,-13.5,11.9
139,15,OC,OC_SS-6,SS,4,6,1,461,Summer,5/8/2019,8,5,2019,12.92,0.44,13.36,13.52,0.6,26.7,-36.4
140,15,OC,OC_SHVB-6,SHVB,4,6,2,462,Summer,5/8/2019,8,5,2019,13.07,0.48,13.55,13.18,0.11,-336.4,77.1
141,15,OC,OC_SSVB-6,SSVB,4,6,3,463,Summer,5/8/2019,8,5,2019,13.07,0.41,13.48,13.49,0.42,2.4,-2.4
142,15,OC,OC_SHSS-6,SHSS,4,6,4,464,Summer,5/8/2019,8,5,2019,13.08,0.39,13.47,13.57,0.49,20.4,-25.6
143,15,OC,OC_SH-6,SH,4,6,5,465,Summer,5/8/2019,8,5,2019,12.8,0.47,13.27,13.45,0.65,27.7,-38.3
144,15,OC,OC_VB-6,VB,4,6,6,466,Summer,5/8/2019,8,5,2019,13.11,0.36,13.47,13.6,0.49,26.5,-36.1
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,
