PlotID,Block,PlotName,Location,CropTrt,SiteNum,RowNum,ColNum,Position,SamplingDate,Month,Day,Year,pH,pH_2
1,1,VF_SHSS-1,VF,SHSS,1,1,1,111,11/21/2019,11,21,2019,7.79,7.83
2,1,VF_VB-1,VF,VB,1,1,2,112,11/21/2019,11,21,2019,7.74,7.91
3,1,VF_SH-1,VF,SH,1,1,3,113,11/21/2019,11,21,2019,7.73,7.8
4,1,VF_SHVB-1,VF,SHVB,1,1,4,114,11/21/2019,11,21,2019,7.82,7.71
5,1,VF_SSVB-1,VF,SSVB,1,1,5,115,11/21/2019,11,21,2019,7.95,7.92
6,1,VF_SS-1,VF,SS,1,1,6,116,11/21/2019,11,21,2019,7.97,7.97
7,1,VF_SS-2,VF,SS,1,2,1,121,11/21/2019,11,21,2019,7.92,7.93
8,1,VF_SHVB-2,VF,SHVB,1,2,2,122,11/21/2019,11,21,2019,7.97,7.91
9,1,VF_SSVB-2,VF,SSVB,1,2,3,123,11/21/2019,11,21,2019,7.98,7.88
10,1,VF_SH-2,VF,SH,1,2,4,124,11/21/2019,11,21,2019,7.92,7.94
11,1,VF_VB-2,VF,VB,1,2,5,125,11/21/2019,11,21,2019,7.97,7.95
12,1,VF_SHSS-2,VF,SHSS,1,2,6,126,11/21/2019,11,21,2019,7.91,8
13,1,VF_VB-3,VF,VB,1,3,1,131,11/21/2019,11,21,2019,8.01,8.04
14,1,VF_SSVB-3,VF,SSVB,1,3,2,132,11/21/2019,11,21,2019,8.07,8.05
15,1,VF_SHVB-3,VF,SHVB,1,3,3,133,11/21/2019,11,21,2019,7.96,7.97
16,1,VF_SHSS-3,VF,SHSS,1,3,4,134,11/21/2019,11,21,2019,7.97,7.89
17,1,VF_SS-3,VF,SS,1,3,5,135,11/21/2019,11,21,2019,7.96,7.99
18,1,VF_SH-3,VF,SH,1,3,6,136,11/21/2019,11,21,2019,7.95,7.92
19,1,VF_SH-4,VF,SH,1,4,1,141,11/21/2019,11,21,2019,8.05,8.02
20,1,VF_SS-4,VF,SS,1,4,2,142,11/21/2019,11,21,2019,7.99,7.98
21,1,VF_SHSS-4,VF,SHSS,1,4,3,143,11/21/2019,11,21,2019,7.82,7.79
22,1,VF_VB-4,VF,VB,1,4,4,144,11/21/2019,11,21,2019,8.06,8.08
23,1,VF_SHVB-4,VF,SHVB,1,4,5,145,11/21/2019,11,21,2019,8.06,8.07
24,1,VF_SSVB-4,VF,SSVB,1,4,6,146,11/21/2019,11,21,2019,8.03,8.04
25,1,VF_SHVB-5,VF,SHVB,1,5,1,151,11/21/2019,11,21,2019,8.11,8.09
26,1,VF_SHSS-5,VF,SHSS,1,5,2,152,11/21/2019,11,21,2019,8.1,7.99
27,1,VF_SS-5,VF,SS,1,5,3,153,11/21/2019,11,21,2019,8.08,8.05
28,1,VF_SSVB-5,VF,SSVB,1,5,4,154,11/21/2019,11,21,2019,8.12,8.1
29,1,VF_SH-5,VF,SH,1,5,5,155,11/21/2019,11,21,2019,8.13,8.11
30,1,VF_VB-5,VF,VB,1,5,6,156,11/21/2019,11,21,2019,8.13,8.09
31,1,VF_SSVB-6,VF,SSVB,1,6,1,161,11/21/2019,11,21,2019,8.15,8.14
32,1,VF_SH-6,VF,SH,1,6,2,162,11/21/2019,11,21,2019,8.09,8.1
33,1,VF_SS-6,VF,SS,1,6,3,163,11/21/2019,11,21,2019,8.15,8.13
34,1,VF_SS-6,VF,SS,1,6,4,164,11/21/2019,11,21,2019,7.88,7.92
35,1,VF_SHSS-6,VF,SHSS,1,6,5,165,11/21/2019,11,21,2019,8.06,8.07
36,1,VF_SHVB-6,VF,SHVB,1,6,6,166,11/21/2019,11,21,2019,8.08,8.06
37,4,FO_SS-1,FO,SS,2,1,1,211,11/21/2019,11,21,2019,7.19,7.25
38,4,FO_SHSS-1,FO,SHSS,2,1,2,213,11/21/2019,11,21,2019,7.2,7.31
39,4,FO_SHVB-1,FO,SHVB,2,1,3,213,11/21/2019,11,21,2019,7.37,7.38
40,4,FO_SSVB-1,FO,SSVB,2,1,4,214,11/21/2019,11,21,2019,7.34,7.35
41,4,FO_SH-1,FO,SH,2,1,5,215,11/21/2019,11,21,2019,7.52,7.5
42,4,FO_VB-1,FO,VB,2,1,6,216,11/21/2019,11,21,2019,7.81,7.81
43,4,FO_VB-2,FO,VB,2,2,1,221,11/21/2019,11,21,2019,7.68,7.7
44,4,FO_SSVB-2,FO,SSVB,2,2,2,222,11/21/2019,11,21,2019,7.74,7.69
45,4,FO_SS-2,FO,SS,2,2,3,223,11/21/2019,11,21,2019,7.31,7.32
46,4,FO_SH-2,FO,SH,2,2,4,224,11/21/2019,11,21,2019,7.4,7.41
47,4,FO_SHVB-2,FO,SHVB,2,2,5,225,11/21/2019,11,21,2019,7.35,7.37
48,4,FO_SHSS-2,FO,SHSS,2,2,6,226,11/21/2019,11,21,2019,7.44,7.43
49,4,FO_SH-3,FO,SH,2,3,1,231,11/21/2019,11,21,2019,7.49,7.46
50,4,FO_SHVB-3,FO,SHVB,2,3,2,232,11/21/2019,11,21,2019,7.61,7.6
51,4,FO_VB-3,FO,VB,2,3,3,233,11/21/2019,11,21,2019,7.62,7.58
52,4,FO_SHSS-3,FO,SHSS,2,3,4,234,11/21/2019,11,21,2019,7.64,7.66
53,4,FO_SS-3,FO,SS,2,3,5,235,11/21/2019,11,21,2019,7.5,7.53
54,4,FO_SSVB-3,FO,SSVB,2,3,6,236,11/21/2019,11,21,2019,7.66,7.67
55,4,FO_SHSS-4,FO,SHSS,2,4,1,241,11/21/2019,11,21,2019,7.57,7.59
56,4,FO_SH-4,FO,SH,2,4,2,242,11/21/2019,11,21,2019,7.62,7.61
57,4,FO_SSVB-4,FO,SSVB,2,4,3,243,11/21/2019,11,21,2019,7.81,7.83
58,4,FO_SS-4,FO,SS,2,4,4,244,11/21/2019,11,21,2019,7.74,7.75
59,4,FO_VB-4,FO,VB,2,4,5,245,11/21/2019,11,21,2019,7.65,7.67
60,4,FO_SHVB-4,FO,SHVB,2,4,6,246,11/21/2019,11,21,2019,7.75,7.78
61,4,FO_SHVB-5,FO,SHVB,2,5,1,251,11/21/2019,11,21,2019,7.69,7.7
62,4,FO_SS-5,FO,SS,2,5,2,252,11/21/2019,11,21,2019,7.62,7.57
63,4,FO_SHSS-5,FO,SHSS,2,5,3,253,11/21/2019,11,21,2019,7.66,7.67
64,4,FO_VB-5,FO,VB,2,5,4,254,11/21/2019,11,21,2019,7.72,7.75
65,4,FO_SSVB-5,FO,SSVB,2,5,5,255,11/21/2019,11,21,2019,7.78,7.84
66,4,FO_SH-5,FO,SH,2,5,6,256,11/21/2019,11,21,2019,7.92,7.94
67,4,FO_SSVB-6,FO,SSVB,2,6,1,261,11/21/2019,11,21,2019,7.91,7.92
68,4,FO_VB-6,FO,VB,2,6,2,262,11/21/2019,11,21,2019,7.82,7.85
69,4,FO_SH-6,FO,SH,2,6,3,263,11/21/2019,11,21,2019,7.32,7.33
70,4,FO_SHVB-6,FO,SHVB,2,6,4,264,11/21/2019,11,21,2019,7.63,7.64
71,4,FO_SHSS-6,FO,SHSS,2,6,5,265,11/21/2019,11,21,2019,7.71,7.69
72,4,FO_SS-6,FO,SS,2,6,6,266,11/21/2019,11,21,2019,7.79,7.81
73,14,HH_SH-1,HH,SH,3,1,1,311,11/21/2019,11,21,2019,7.17,7.2
74,14,HH_SSVB-1,HH,SSVB,3,1,2,312,11/21/2019,11,21,2019,7.14,7.15
75,14,HH_SHVB-1,HH,SHVB,3,1,3,313,11/21/2019,11,21,2019,7.49,7.54
76,14,HH_SHSS-1,HH,SHSS,3,1,4,314,11/21/2019,11,21,2019,7.51,7.5
77,14,HH_VB-1,HH,VB,3,1,5,315,11/21/2019,11,21,2019,7.42,7.42
78,14,HH_SS-1,HH,SS,3,1,6,316,11/21/2019,11,21,2019,7.46,7.44
79,14,HH_VB-2,HH,VB,3,2,1,321,11/21/2019,11,21,2019,7.47,7.48
80,14,HH_SHSS-2,HH,SHSS,3,2,2,322,11/21/2019,11,21,2019,7.44,7.45
81,14,HH_SS-2,HH,SS,3,2,3,323,11/21/2019,11,21,2019,7.43,7.41
82,14,HH_SH-2,HH,SH,3,2,4,324,11/21/2019,11,21,2019,7.54,7.55
83,14,HH_SHVB-2,HH,SHVB,3,2,5,325,11/21/2019,11,21,2019,7.51,7.52
84,14,HH_SSVB-2,HH,SSVB,3,2,6,326,11/21/2019,11,21,2019,7.59,7.61
85,14,HH_SHSS-3,HH,SHSS,3,3,1,331,11/21/2019,11,21,2019,7.52,7.51
86,14,HH_SHVB-3,HH,SHVB,3,3,2,332,11/21/2019,11,21,2019,7.45,7.47
87,14,HH_SSVB-3,HH,SSVB,3,3,3,333,11/21/2019,11,21,2019,7.66,7.67
88,14,HH_VB-3,HH,VB,3,3,4,334,11/21/2019,11,21,2019,7.57,7.56
89,14,HH_SS-3,HH,SS,3,3,5,335,11/21/2019,11,21,2019,7.58,7.57
90,14,HH_SH-3,HH,SH,3,3,6,336,11/21/2019,11,21,2019,7.58,7.59
91,14,HH_SS-4,HH,SS,3,4,1,341,11/21/2019,11,21,2019,7.61,7.62
92,14,HH_SH-4,HH,SH,3,4,2,342,11/21/2019,11,21,2019,7.62,7.63
93,14,HH_VB-4,HH,VB,3,4,3,343,11/21/2019,11,21,2019,7.47,7.45
94,14,HH_SHVB-4,HH,SHVB,3,4,4,344,11/21/2019,11,21,2019,7.45,7.47
95,14,HH_SSVB-4,HH,SSVB,3,4,5,345,11/21/2019,11,21,2019,7.43,7.46
96,14,HH_SHSS-4,HH,SHSS,3,4,6,346,11/21/2019,11,21,2019,7.56,7.54
97,14,HH_SSVB-5,HH,SSVB,3,5,1,351,11/21/2019,11,21,2019,7.32,7.39
98,14,HH_VB-5,HH,VB,3,5,2,352,11/21/2019,11,21,2019,7.34,7.36
99,14,HH_SHSS-5,HH,SHSS,3,5,3,353,11/21/2019,11,21,2019,7.42,7.43
100,14,HH_SS-5,HH,SS,3,5,4,354,11/21/2019,11,21,2019,7.41,7.44
101,14,HH_SH-5,HH,SH,3,5,5,355,11/21/2019,11,21,2019,7.39,7.41
102,14,HH_SHVB-5,HH,SHVB,3,5,6,356,11/21/2019,11,21,2019,7.45,7.49
103,14,HH_SHVB-6,HH,SHVB,3,6,1,361,11/21/2019,11,21,2019,7.51,7.5
104,14,HH_SS-6,HH,SS,3,6,2,362,11/21/2019,11,21,2019,7.41,7.42
105,14,HH_SH-6,HH,SH,3,6,3,363,11/21/2019,11,21,2019,7.44,7.45
106,14,HH_SSVB-6,HH,SSVB,3,6,4,364,11/21/2019,11,21,2019,7.43,7.43
107,14,HH_SHSS-6,HH,SHSS,3,6,5,365,11/21/2019,11,21,2019,7.53,7.52
108,14,HH_VB-6,HH,VB,3,6,6,366,11/21/2019,11,21,2019,7.51,7.55
109,15,OC_SHSS-1,OC,SHSS,4,1,1,411,11/21/2019,11,21,2019,7.26,7.33
110,15,OC_SS-1,OC,SS,4,1,2,412,11/21/2019,11,21,2019,7.34,7.35
111,15,OC_SH-1,OC,SH,4,1,3,413,11/21/2019,11,21,2019,7.44,7.45
112,15,OC_SSVB-1,OC,SSVB,4,1,4,414,11/21/2019,11,21,2019,7.53,7.51
113,15,OC_VB-1,OC,VB,4,1,5,415,11/21/2019,11,21,2019,7.61,7.62
114,15,OC_SHVB-1,OC,SHVB,4,1,6,416,11/21/2019,11,21,2019,7.56,7.6
115,15,OC_SHVB-2,OC,SHVB,4,2,1,421,11/21/2019,11,21,2019,7.49,7.52
116,15,OC_VB-2,OC,VB,4,2,2,422,11/21/2019,11,21,2019,7.54,7.55
117,15,OC_SHSS-2,OC,SHSS,4,2,3,423,11/21/2019,11,21,2019,7.61,7.63
118,15,OC_SS-2,OC,SS,4,2,4,424,11/21/2019,11,21,2019,7.41,7.49
119,15,OC_SHVB-2,OC,SHVB,4,2,5,425,11/21/2019,11,21,2019,7.53,7.57
120,15,OC_SS-2,OC,SS,4,2,6,426,11/21/2019,11,21,2019,7.51,7.59
121,15,OC_SSVB-3,OC,SSVB,4,3,1,431,11/21/2019,11,21,2019,7.45,7.46
122,15,OC_SH-3,OC,SH,4,3,2,432,11/21/2019,11,21,2019,7.43,7.42
123,15,OC_VB-3,OC,VB,4,3,3,433,11/21/2019,11,21,2019,7.47,7.47
124,15,OC_SHVB-3,OC,SHVB,4,3,4,434,11/21/2019,11,21,2019,7.56,7.54
125,15,OC_SHSS-3,OC,SHSS,4,3,5,435,11/21/2019,11,21,2019,7.55,7.58
126,15,OC_SS-3,OC,SS,4,3,6,436,11/21/2019,11,21,2019,7.52,7.5
127,15,OC_SH-4,OC,SH,4,4,1,441,11/21/2019,11,21,2019,7.52,7.51
128,15,OC_SSVB-4,OC,SSVB,4,4,2,442,11/21/2019,11,21,2019,7.53,7.56
129,15,OC_SS-4,OC,SS,4,4,3,443,11/21/2019,11,21,2019,7.55,7.54
130,15,OC_VB-4,OC,VB,4,4,4,444,11/21/2019,11,21,2019,7.46,7.55
131,15,OC_SHVB-4,OC,SHVB,4,4,5,445,11/21/2019,11,21,2019,7.52,7.48
132,15,OC_SHSS-4,OC,SHSS,4,4,6,446,11/21/2019,11,21,2019,7.54,7.56
133,15,OC_VB-5,OC,VB,4,5,1,451,11/21/2019,11,21,2019,7.57,7.59
134,15,OC_SHSS-5,OC,SHSS,4,5,2,452,11/21/2019,11,21,2019,7.47,7.46
135,15,OC_SHVB-5,OC,SHVB,4,5,3,453,11/21/2019,11,21,2019,7.61,7.59
136,15,OC_SH-5,OC,SH,4,5,4,454,11/21/2019,11,21,2019,7.56,7.58
137,15,OC_SS-5,OC,SS,4,5,5,455,11/21/2019,11,21,2019,7.63,7.64
138,15,OC_SSVB-5,OC,SSVB,4,5,6,456,11/21/2019,11,21,2019,7.62,7.65
139,15,OC_SS-6,OC,SS,4,6,1,461,11/21/2019,11,21,2019,7.65,7.65
140,15,OC_SHVB-6,OC,SHVB,4,6,2,462,11/21/2019,11,21,2019,7.6,7.61
141,15,OC_SSVB-6,OC,SSVB,4,6,3,463,11/21/2019,11,21,2019,7.63,7.64
142,15,OC_SHSS-6,OC,SHSS,4,6,4,464,11/21/2019,11,21,2019,7.57,7.54
143,15,OC_SH-6,OC,SH,4,6,5,465,11/21/2019,11,21,2019,7.58,7.59
144,15,OC_VB-6,OC,VB,4,6,6,466,11/21/2019,11,21,2019,7.61,7.64
