PlotID,NitrogenForms,Concentration_mgL,SoilWgt_g,KCl_mL,Concentration_mgKg
1,NO3-N ,1.0514,2.032,20.047,10.373
2,NO3-N ,0.9589,2.023,20.047,9.502
3,NO3-N ,0.5681,2.03,20.047,5.61
4,NO3-N ,1.0046,2.02,20.047,9.97
5,NO3-N ,0.4372,2.04,20.047,4.296
6,NO3-N ,0.5898,2.024,20.047,5.842
7,NO3-N ,0.9152,2.04,20.047,8.994
8,NO3-N ,1.1107,2.075,20.047,10.731
9,NO3-N ,0.5735,2.059,20.047,5.584
10,NO3-N ,0.3159,2.008,20.047,3.154
11,NO3-N ,0.6274,2.063,20.047,6.097
12,NO3-N ,0.6292,2.047,20.047,6.162
13,NO3-N ,0.858,2.037,20.047,8.444
14,NO3-N ,0.7702,2.069,20.047,7.463
15,NO3-N ,0.9781,2.037,20.047,9.626
16,NO3-N ,0.4289,2.011,20.047,4.276
17,NO3-N ,0.4268,2.035,20.047,4.204
18,NO3-N ,0.5799,2.022,20.047,5.749
19,NO3-N ,0.8295,2.002,20.047,8.306
20,NO3-N ,0.731,2.072,20.047,7.073
21,NO3-N ,1.0011,2.073,20.047,9.681
22,NO3-N ,0.5009,2.031,20.047,4.944
23,NO3-N ,0.5496,2.026,20.047,5.438
24,NO3-N ,0.5346,2.067,20.047,5.185
25,NO3-N ,0.9383,2.009,20.047,9.363
26,NO3-N ,0.7435,2.017,20.047,7.39
27,NO3-N ,1.267,2.092,20.047,12.141
28,NO3-N ,0.4555,2.016,20.047,4.529
29,NO3-N ,0.474,2.039,20.047,4.66
30,NO3-N ,0.5868,2.023,20.047,5.815
31,NO3-N ,0.8729,2.061,20.047,8.491
32,NO3-N ,1.1997,2.081,20.047,11.557
33,NO3-N ,0.922,2.064,20.047,8.955
34,NO3-N ,0.4442,2.096,20.047,4.249
35,NO3-N ,0.5543,2.087,20.047,5.324
36,NO3-N ,0.6351,2.054,20.047,6.199
37,NO3-N ,1.0601,2.058,20.047,10.326
38,NO3-N ,0.9376,2.077,20.047,9.05
39,NO3-N ,0.8263,2.087,20.047,7.937
40,NO3-N ,0.8439,2.061,20.047,8.208
41,NO3-N ,0.8099,2.097,20.047,7.743
42,NO3-N ,0.6634,2.039,20.047,6.522
43,NO3-N ,1.1551,2.095,20.047,11.053
44,NO3-N ,0.7485,2.058,20.047,7.291
45,NO3-N ,0.7824,2.061,20.047,7.61
46,NO3-N ,0.8938,2.06,20.047,8.698
47,NO3-N ,0.8434,2.03,20.047,8.329
48,NO3-N ,0.8938,2.052,20.047,8.732
49,NO3-N ,1.3354,2.043,20.047,13.104
50,NO3-N ,0.8694,2.023,20.047,8.615
51,NO3-N ,0.6772,2.065,20.047,6.574
52,NO3-N ,0.6282,2.015,20.047,6.25
53,NO3-N ,0.6747,2.084,20.047,6.49
54,NO3-N ,0.4763,2.045,20.047,4.669
55,NO3-N ,0.8813,2.033,20.047,8.69
56,NO3-N ,0.6617,2.037,20.047,6.512
57,NO3-N ,0.6577,2.006,20.047,6.573
58,NO3-N ,0.453,2.091,20.047,4.343
59,NO3-N ,0.5687,2.005,20.047,5.686
60,NO3-N ,0.4488,2.025,20.047,4.443
61,NO3-N ,0.6833,2.006,20.047,6.829
62,NO3-N ,0.5591,2.024,20.047,5.538
63,NO3-N ,0.6331,2.028,20.047,6.258
64,NO3-N ,0.4915,2.09,20.047,4.714
65,NO3-N ,0.5856,2.054,20.047,5.715
66,NO3-N ,0.5854,2.077,20.047,5.65
67,NO3-N ,0.9544,2.096,20.047,9.128
68,NO3-N ,0.6274,2.021,20.047,6.223
69,NO3-N ,0.636,2.065,20.047,6.174
70,NO3-N ,0.5872,2.071,20.047,5.684
71,NO3-N ,0.4365,2.06,20.047,4.248
72,NO3-N ,0.5286,2.095,20.047,5.058
73,NO3-N ,8.0414,2.004,20.047,80.442
74,NO3-N ,7.0874,2.019,20.047,70.372
75,NO3-N ,7.071,2.078,20.047,68.216
76,NO3-N ,9.3326,2.05,20.047,91.264
77,NO3-N ,8.641,2.063,20.047,83.968
78,NO3-N ,6.2481,2.041,20.047,61.37
79,NO3-N ,5.0925,2.079,20.047,49.105
80,NO3-N ,3.7968,2.003,20.047,38
81,NO3-N ,4.3056,2.009,20.047,42.964
82,NO3-N ,4.4487,2.053,20.047,43.44
83,NO3-N ,5.2611,2.074,20.047,50.853
84,NO3-N ,4.5547,2.053,20.047,44.475
85,NO3-N ,5.1609,2.011,20.047,51.447
86,NO3-N ,4.7602,2.013,20.047,47.406
87,NO3-N ,4.4882,2.019,20.047,44.564
88,NO3-N ,5.278,2.091,20.047,50.602
89,NO3-N ,5.7,2.069,20.047,55.229
90,NO3-N ,5.7372,2.051,20.047,56.077
91,NO3-N ,6.5938,2.007,20.047,65.862
92,NO3-N ,3.959,2.089,20.047,37.992
93,NO3-N ,5.4514,2.049,20.047,53.335
94,NO3-N ,4.803,2.083,20.047,46.225
95,NO3-N ,5.954,2.067,20.047,57.745
96,NO3-N ,4.8417,2.044,20.047,47.486
97,NO3-N ,4.1165,2.047,20.047,40.314
98,NO3-N ,3.6555,2.069,20.047,35.419
99,NO3-N ,4.2353,2.068,20.047,41.057
100,NO3-N ,4.7852,2.057,20.047,46.635
101,NO3-N ,4.0207,2.023,20.047,39.843
102,NO3-N ,6.5159,2.008,20.047,65.052
103,NO3-N ,6.5657,2.082,20.047,63.219
104,NO3-N ,5.7042,2.079,20.047,55.003
105,NO3-N ,5.9904,2.058,20.047,58.353
106,NO3-N ,6.8199,2.094,20.047,65.291
107,NO3-N ,9.1017,2.058,20.047,88.66
108,NO3-N ,5.9423,2.068,20.047,57.604
109,NO3-N ,4.7716,2.062,20.047,46.39
110,NO3-N ,4.4882,2.007,20.047,44.831
111,NO3-N ,7.5549,2.056,20.047,73.664
112,NO3-N ,6.0301,2.074,20.047,58.286
113,NO3-N ,5.367,2.004,20.047,53.689
114,NO3-N ,4.9419,2.094,20.047,47.311
115,NO3-N ,12.3771,2.041,20.047,121.57
116,NO3-N ,5.2331,2.085,20.047,50.316
117,NO3-N ,6.2684,2.096,20.047,59.954
118,NO3-N ,7.0743,2.052,20.047,69.112
119,NO3-N ,5.36,2.072,20.047,51.859
120,NO3-N ,4.5471,2.072,20.047,43.994
121,NO3-N ,7.2446,2.085,20.047,69.656
122,NO3-N ,5.574,2.03,20.047,55.045
123,NO3-N ,5.5491,2.05,20.047,54.265
124,NO3-N ,5.8812,2.059,20.047,57.261
125,NO3-N ,4.8024,2.055,20.047,46.849
126,NO3-N ,5.3362,2.037,20.047,52.516
127,NO3-N ,7.0898,2.091,20.047,67.972
128,NO3-N ,3.2237,2.049,20.047,31.54
129,NO3-N ,4.6682,2.085,20.047,44.884
130,NO3-N ,6.2735,2.08,20.047,60.464
131,NO3-N ,4.1449,2.058,20.047,40.376
132,NO3-N ,5.9315,2.085,20.047,57.031
133,NO3-N ,8.8545,2.028,20.047,87.528
134,NO3-N ,8.9231,2.079,20.047,86.042
135,NO3-N ,4.795,2.012,20.047,47.776
136,NO3-N ,4.2204,2.028,20.047,41.719
137,NO3-N ,4.4623,2.068,20.047,43.257
138,NO3-N ,4.4652,2.032,20.047,44.052
139,NO3-N ,8.0058,2.062,20.047,77.833
140,NO3-N ,6.8944,2.012,20.047,68.694
141,NO3-N ,4.0927,2.04,20.047,40.219
142,NO3-N ,6.0472,2.012,20.047,60.253
143,NO3-N ,4.8004,2.061,20.047,46.693
144,NO3-N ,5.1283,2.086,20.047,49.284
145,NO3-N ,0.1321,2.088,20.047,1.268
146,NO3-N ,0.0865,2.029,20.047,0.855
147,NO3-N ,0.0964,2.057,20.047,0.939
148,NO3-N ,0.1256,2.022,20.047,1.245
149,NO3-N ,0.1164,2.026,20.047,1.152
150,NO3-N ,0.1939,2.034,20.047,1.911
151,NO3-N ,0.0333,2.06,20.047,0.324
152,NO3-N ,0.0772,2.007,20.047,0.771
153,NO3-N ,0.0948,2.019,20.047,0.941
154,NO3-N ,0.124,2.044,20.047,1.216
155,NO3-N ,0.1018,2.007,20.047,1.017
156,NO3-N ,0.0973,2.04,20.047,0.956
157,NO3-N ,0.0945,2.029,20.047,0.934
158,NO3-N ,0.1292,2.04,20.047,1.27
159,NO3-N ,0.104,2.022,20.047,1.031
160,NO3-N ,0.1063,2.079,20.047,1.025
161,NO3-N ,0.1941,2.012,20.047,1.934
162,NO3-N ,0.0898,2.02,20.047,0.891
163,NO3-N ,0.042,2.005,20.047,0.42
164,NO3-N ,-0.0227,2.059,20.047,-0.221
165,NO3-N ,0.032,2.039,20.047,0.315
166,NO3-N ,0.1101,2.01,20.047,1.098
167,NO3-N ,0.0153,2.018,20.047,0.152
168,NO3-N ,0.0507,2.009,20.047,0.506
169,NO3-N ,0.0475,2.079,20.047,0.458
170,NO3-N ,0.0701,2.031,20.047,0.692
171,NO3-N ,0.0474,2.039,20.047,0.466
172,NO3-N ,0.0769,2.017,20.047,0.764
173,NO3-N ,0.08,2.046,20.047,0.784
174,NO3-N ,0.0317,2.069,20.047,0.307
175,NO3-N ,0.0299,2.071,20.047,0.289
176,NO3-N ,0.1064,2.024,20.047,1.054
177,NO3-N ,0.0757,2.008,20.047,0.756
178,NO3-N ,0.0604,2.027,20.047,0.597
179,NO3-N ,0.1271,2.008,20.047,1.269
180,NO3-N ,0.0517,2.056,20.047,0.504
181,NO3-N ,0.438,2.009,20.047,4.371
182,NO3-N ,0.9301,2.018,20.047,9.24
183,NO3-N ,2.0843,2.007,20.047,20.819
184,NO3-N ,0.9063,2.048,20.047,8.871
185,NO3-N ,1.4995,2.019,20.047,14.889
186,NO3-N ,1.3071,2.055,20.047,12.751
187,NO3-N ,0.274,2.065,20.047,2.66
188,NO3-N ,0.7752,2.061,20.047,7.54
189,NO3-N ,0.5998,2.062,20.047,5.831
190,NO3-N ,0.7098,2.034,20.047,6.996
191,NO3-N ,0.694,2.04,20.047,6.82
192,NO3-N ,0.7654,2.014,20.047,7.619
193,NO3-N ,0.5986,2.023,20.047,5.932
194,NO3-N ,1.6127,2.039,20.047,15.856
195,NO3-N ,0.9293,2.046,20.047,9.105
196,NO3-N ,1.2308,2.052,20.047,12.024
197,NO3-N ,1.3339,2.05,20.047,13.044
198,NO3-N ,0.9982,2.041,20.047,9.804
199,NO3-N ,0.4146,2.026,20.047,4.102
200,NO3-N ,0.3815,2.017,20.047,3.792
201,NO3-N ,0.5964,2.057,20.047,5.812
202,NO3-N ,0.2689,2.023,20.047,2.665
203,NO3-N ,0.3853,2.049,20.047,3.77
204,NO3-N ,0.2707,2.04,20.047,2.66
205,NO3-N ,0.3378,2.046,20.047,3.31
206,NO3-N ,0.2444,2.058,20.047,2.381
207,NO3-N ,0.2497,2.011,20.047,2.489
208,NO3-N ,0.4822,2.028,20.047,4.767
209,NO3-N ,0.735,2.053,20.047,7.177
210,NO3-N ,0.3431,2.075,20.047,3.315
211,NO3-N ,0.0677,2.019,20.047,0.672
212,NO3-N ,0.1382,2.012,20.047,1.377
213,NO3-N ,0.4794,2.046,20.047,4.697
214,NO3-N ,0.2009,2.024,20.047,1.99
215,NO3-N ,0.3646,2.046,20.047,3.572
216,NO3-N ,0.405,2.066,20.047,3.93
1,NH4-N ,0.4183,2.032,20.047,4.127
2,NH4-N ,0.3387,2.023,20.047,3.356
3,NH4-N ,0.3501,2.03,20.047,3.457
4,NH4-N ,0.2324,2.02,20.047,2.306
5,NH4-N ,0.312,2.04,20.047,3.066
6,NH4-N ,0.2917,2.024,20.047,2.889
7,NH4-N ,0.3987,2.04,20.047,3.918
8,NH4-N ,0.3726,2.075,20.047,3.6
9,NH4-N ,0.3287,2.059,20.047,3.2
10,NH4-N ,0.2332,2.008,20.047,2.328
11,NH4-N ,0.2053,2.063,20.047,1.995
12,NH4-N ,0.3476,2.047,20.047,3.404
13,NH4-N ,0.2237,2.037,20.047,2.202
14,NH4-N ,0.3132,2.069,20.047,3.035
15,NH4-N ,0.3356,2.037,20.047,3.303
16,NH4-N ,0.2418,2.011,20.047,2.41
17,NH4-N ,0.3028,2.035,20.047,2.983
18,NH4-N ,0.3283,2.022,20.047,3.255
19,NH4-N ,0.2946,2.002,20.047,2.95
20,NH4-N ,5.5096,2.072,20.047,53.306
21,NH4-N ,0.7321,2.073,20.047,7.08
22,NH4-N ,0.406,2.031,20.047,4.007
23,NH4-N ,0.3545,2.026,20.047,3.508
24,NH4-N ,0.4781,2.067,20.047,4.637
25,NH4-N ,0.2548,2.009,20.047,2.543
26,NH4-N ,0.2457,2.017,20.047,2.442
27,NH4-N ,0.3214,2.092,20.047,3.08
28,NH4-N ,0.2929,2.016,20.047,2.913
29,NH4-N ,0.3185,2.039,20.047,3.131
30,NH4-N ,0.3738,2.023,20.047,3.704
31,NH4-N ,0.2831,2.061,20.047,2.754
32,NH4-N ,0.2266,2.081,20.047,2.183
33,NH4-N ,0.2247,2.064,20.047,2.182
34,NH4-N ,0.2507,2.096,20.047,2.398
35,NH4-N ,0.3655,2.087,20.047,3.511
36,NH4-N ,0.3552,2.054,20.047,3.467
37,NH4-N ,0.8631,2.058,20.047,8.407
38,NH4-N ,1.0128,2.077,20.047,9.775
39,NH4-N ,0.3955,2.087,20.047,3.799
40,NH4-N ,0.5824,2.061,20.047,5.665
41,NH4-N ,0.8618,2.097,20.047,8.239
42,NH4-N ,0.316,2.039,20.047,3.107
43,NH4-N ,0.447,2.095,20.047,4.277
44,NH4-N ,0.6684,2.058,20.047,6.511
45,NH4-N ,0.9158,2.061,20.047,8.908
46,NH4-N ,0.3466,2.06,20.047,3.373
47,NH4-N ,0.3973,2.03,20.047,3.923
48,NH4-N ,0.3403,2.052,20.047,3.325
49,NH4-N ,1.1187,2.043,20.047,10.977
50,NH4-N ,0.2815,2.023,20.047,2.79
51,NH4-N ,0.3377,2.065,20.047,3.278
52,NH4-N ,0.5663,2.015,20.047,5.634
53,NH4-N ,0.8943,2.084,20.047,8.603
54,NH4-N ,0.3246,2.045,20.047,3.182
55,NH4-N ,0.9161,2.033,20.047,9.033
56,NH4-N ,0.4546,2.037,20.047,4.474
57,NH4-N ,0.2117,2.006,20.047,2.116
58,NH4-N ,0.8885,2.091,20.047,8.518
59,NH4-N ,0.9859,2.005,20.047,9.858
60,NH4-N ,0.3568,2.025,20.047,3.532
61,NH4-N ,0.9071,2.006,20.047,9.065
62,NH4-N ,1.1188,2.024,20.047,11.081
63,NH4-N ,0.6778,2.028,20.047,6.7
64,NH4-N ,0.7417,2.09,20.047,7.114
65,NH4-N ,0.953,2.054,20.047,9.301
66,NH4-N ,0.2189,2.077,20.047,2.113
67,NH4-N ,0.5679,2.096,20.047,5.432
68,NH4-N ,0.2251,2.021,20.047,2.233
69,NH4-N ,0.9134,2.065,20.047,8.867
70,NH4-N ,0.8267,2.071,20.047,8.002
71,NH4-N ,0.2538,2.06,20.047,2.47
72,NH4-N ,0.9115,2.095,20.047,8.722
73,NH4-N ,2.095,2.004,20.047,20.957
74,NH4-N ,3.82,2.019,20.047,37.929
75,NH4-N ,1.54,2.078,20.047,14.857
76,NH4-N ,2.6106,2.05,20.047,25.529
77,NH4-N ,2.2558,2.063,20.047,21.921
78,NH4-N ,1.7553,2.041,20.047,17.241
79,NH4-N ,1.173,2.079,20.047,11.311
80,NH4-N ,2.0503,2.003,20.047,20.52
81,NH4-N ,1.7554,2.009,20.047,17.516
82,NH4-N ,4.1955,2.053,20.047,40.968
83,NH4-N ,1.6106,2.074,20.047,15.568
84,NH4-N ,1.64,2.053,20.047,16.014
85,NH4-N ,1.5332,2.011,20.047,15.284
86,NH4-N ,1.4452,2.013,20.047,14.392
87,NH4-N ,2.8818,2.019,20.047,28.614
88,NH4-N ,1.8408,2.091,20.047,17.648
89,NH4-N ,3.8818,2.069,20.047,37.612
90,NH4-N ,1.0363,2.051,20.047,10.129
91,NH4-N ,0.8989,2.007,20.047,8.979
92,NH4-N ,3.7378,2.089,20.047,35.87
93,NH4-N ,1.0005,2.049,20.047,9.789
94,NH4-N ,3.6315,2.083,20.047,34.95
95,NH4-N ,3.8755,2.067,20.047,37.587
96,NH4-N ,3.9831,2.044,20.047,39.065
97,NH4-N ,0.9507,2.047,20.047,9.311
98,NH4-N ,0.9238,2.069,20.047,8.951
99,NH4-N ,0.8457,2.068,20.047,8.198
100,NH4-N ,0.9008,2.057,20.047,8.779
101,NH4-N ,0.8963,2.023,20.047,8.882
102,NH4-N ,0.9303,2.008,20.047,9.288
103,NH4-N ,1.0873,2.082,20.047,10.469
104,NH4-N ,0.8426,2.079,20.047,8.125
105,NH4-N ,0.8079,2.058,20.047,7.87
106,NH4-N ,1.2621,2.094,20.047,12.083
107,NH4-N ,1.0394,2.058,20.047,10.125
108,NH4-N ,1.0444,2.068,20.047,10.124
109,NH4-N ,1.0011,2.062,20.047,9.733
110,NH4-N ,0.9762,2.007,20.047,9.751
111,NH4-N ,1.0117,2.056,20.047,9.865
112,NH4-N ,1.0907,2.074,20.047,10.543
113,NH4-N ,1.0914,2.004,20.047,10.918
114,NH4-N ,0.9822,2.094,20.047,9.403
115,NH4-N ,1.0033,2.041,20.047,9.855
116,NH4-N ,1.082,2.085,20.047,10.403
117,NH4-N ,1.1213,2.096,20.047,10.725
118,NH4-N ,1.099,2.052,20.047,10.737
119,NH4-N ,2.3221,2.072,20.047,22.467
120,NH4-N ,2.0394,2.072,20.047,19.732
121,NH4-N ,1.1167,2.085,20.047,10.737
122,NH4-N ,1.0839,2.03,20.047,10.704
123,NH4-N ,4.027,2.05,20.047,39.38
124,NH4-N ,1.089,2.059,20.047,10.603
125,NH4-N ,1.0435,2.055,20.047,10.18
126,NH4-N ,1.1214,2.037,20.047,11.036
127,NH4-N ,1.0862,2.091,20.047,10.414
128,NH4-N ,1.0108,2.049,20.047,9.889
129,NH4-N ,0.9752,2.085,20.047,9.376
130,NH4-N ,1.2244,2.08,20.047,11.801
131,NH4-N ,0.9965,2.058,20.047,9.707
132,NH4-N ,1.0458,2.085,20.047,10.055
133,NH4-N ,1.1014,2.028,20.047,10.887
134,NH4-N ,0.9008,2.079,20.047,8.686
135,NH4-N ,0.8298,2.012,20.047,8.268
136,NH4-N ,0.9393,2.028,20.047,9.285
137,NH4-N ,1.1161,2.068,20.047,10.819
138,NH4-N ,0.9793,2.032,20.047,9.661
139,NH4-N ,1.0777,2.062,20.047,10.478
140,NH4-N ,3.7601,2.012,20.047,37.465
141,NH4-N ,4.5024,2.04,20.047,44.245
142,NH4-N ,3.155,2.012,20.047,31.436
143,NH4-N ,3.7164,2.061,20.047,36.149
144,NH4-N ,4.3031,2.086,20.047,41.354
145,NH4-N ,0.6816,2.088,20.047,6.544
146,NH4-N ,0.8045,2.029,20.047,7.949
147,NH4-N ,0.7026,2.057,20.047,6.847
148,NH4-N ,3.2934,2.022,20.047,32.652
149,NH4-N ,0.9422,2.026,20.047,9.323
150,NH4-N ,0.6629,2.034,20.047,6.534
151,NH4-N ,0.6922,2.06,20.047,6.736
152,NH4-N ,1.0913,2.007,20.047,10.9
153,NH4-N ,0.6537,2.019,20.047,6.491
154,NH4-N ,0.487,2.044,20.047,4.776
155,NH4-N ,3.3902,2.007,20.047,33.863
156,NH4-N ,3.3663,2.04,20.047,33.08
157,NH4-N ,1.0425,2.029,20.047,10.3
158,NH4-N ,0.883,2.04,20.047,8.677
159,NH4-N ,0.5882,2.022,20.047,5.832
160,NH4-N ,4.1515,2.079,20.047,40.031
161,NH4-N ,2.0469,2.012,20.047,20.395
162,NH4-N ,2.1506,2.02,20.047,21.343
163,NH4-N ,2.3005,2.005,20.047,23.002
164,NH4-N ,1.3112,2.059,20.047,12.766
165,NH4-N ,1.1679,2.039,20.047,11.483
166,NH4-N ,3.8762,2.01,20.047,38.66
167,NH4-N ,0.788,2.018,20.047,7.828
168,NH4-N ,0.6717,2.009,20.047,6.703
169,NH4-N ,1.0793,2.079,20.047,10.407
170,NH4-N ,1.037,2.031,20.047,10.236
171,NH4-N ,1.064,2.039,20.047,10.461
172,NH4-N ,0.9394,2.017,20.047,9.337
173,NH4-N ,0.6347,2.046,20.047,6.219
174,NH4-N ,0.579,2.069,20.047,5.61
175,NH4-N ,1.0021,2.071,20.047,9.7
176,NH4-N ,1.006,2.024,20.047,9.964
177,NH4-N ,1.0218,2.008,20.047,10.201
178,NH4-N ,1.6122,2.027,20.047,15.945
179,NH4-N ,1.69,2.008,20.047,16.872
180,NH4-N ,0.5661,2.056,20.047,5.52
181,NH4-N ,1.2114,2.009,20.047,12.088
182,NH4-N ,2.0303,2.018,20.047,20.169
183,NH4-N ,1.5597,2.007,20.047,15.579
184,NH4-N ,5.7057,2.048,20.047,55.851
185,NH4-N ,3.4229,2.019,20.047,33.987
186,NH4-N ,0.1619,2.055,20.047,1.579
187,NH4-N ,0.3814,2.065,20.047,3.703
188,NH4-N ,1.8063,2.061,20.047,17.57
189,NH4-N ,0.4049,2.062,20.047,3.936
190,NH4-N ,0.231,2.034,20.047,2.277
191,NH4-N ,0.4142,2.04,20.047,4.07
192,NH4-N ,1.3698,2.014,20.047,13.635
193,NH4-N ,0.0742,2.023,20.047,0.735
194,NH4-N ,0.1649,2.039,20.047,1.621
195,NH4-N ,3.5073,2.046,20.047,34.365
196,NH4-N ,1.6015,2.052,20.047,15.646
197,NH4-N ,0.117,2.05,20.047,1.144
198,NH4-N ,0.1213,2.041,20.047,1.191
199,NH4-N ,0.1405,2.026,20.047,1.39
200,NH4-N ,0.1215,2.017,20.047,1.208
201,NH4-N ,0.3534,2.057,20.047,3.444
202,NH4-N ,0.5256,2.023,20.047,5.208
203,NH4-N ,0.5789,2.049,20.047,5.664
204,NH4-N ,0.4885,2.04,20.047,4.8
205,NH4-N ,0.115,2.046,20.047,1.127
206,NH4-N ,0.2782,2.058,20.047,2.71
207,NH4-N ,0.1871,2.011,20.047,1.865
208,NH4-N ,0.3708,2.028,20.047,3.665
209,NH4-N ,0.3099,2.053,20.047,3.026
210,NH4-N ,4.3639,2.075,20.047,42.161
211,NH4-N ,3.4709,2.019,20.047,34.463
212,NH4-N ,3.0215,2.012,20.047,30.105
213,NH4-N ,0.1591,2.046,20.047,1.559
214,NH4-N ,1.2638,2.024,20.047,12.517
215,NH4-N ,1.1498,2.046,20.047,11.266
216,NH4-N ,0.2262,2.066,20.047,2.195